#{"t_start": 1680170597.4233882, "env_id": "MiniGrid-Fetch-5x5-N2-v0"}
r,l,t
0,10,1.091347
0.9496,7,1.110245
0,5,1.123469
0.6832,44,1.235056
0,15,1.273385
0.1576,117,2.158854
0,125,3.031487
0.9208,11,3.059383
0.9856,2,3.065067
0,3,3.07255
0.5104,68,3.791138
0.5032,69,3.961825
0,121,4.829783
0,125,5.715167
0,125,6.584047
0.8272,24,6.645684
0.7552,34,7.318472
0.6328,51,7.44267
0,62,7.590714
0.3952,84,8.387476
0.5752,59,9.108942
0.5824,58,9.252649
0.9136,12,9.281836
0.9784,3,9.289491
0,37,9.381425
0,14,9.985033
0,34,10.065659
0,25,10.129284
0.928,10,10.154104
0.568,60,10.807955
0.8632,19,10.852961
0.64,50,10.97505
0.7552,34,11.057699
0.9928,1,11.060835
0.9568,6,11.076408
0,10,11.100891
0.4528,76,11.781913
0,89,12.490673
0.9568,6,12.505312
0,125,13.301384
0,39,13.398294
0.9928,1,13.401281
0.8848,16,13.443434
0.964,5,13.455632
0,20,13.507747
0.6688,46,14.125633
0.9712,4,14.136039
0,95,14.862754
0,25,14.927121
0,94,15.160557
0.604,55,15.78431
0.9424,8,15.805162
0.9496,7,15.822449
0.8848,16,15.861206
0,5,15.873499
0.6544,48,16.530244
0,4,16.541425
0.8056,27,16.60765
0.6256,52,16.739224
0.8848,16,16.778566
0.7336,37,17.43679
0,70,17.605739
0,7,17.623221
0,34,18.215011
0.9568,6,18.229911
0.964,5,18.242357
0.8272,24,18.302252
0,3,18.310012
0,35,18.398475
0,15,18.438
0,122,19.231492
0.6184,53,19.856986
0,10,19.881638
0,16,19.923519
0.856,20,19.973158
0,69,20.141307
0,18,20.676951
0,125,21.476601
0,1,21.479743
0.8776,17,21.520752
0.3808,86,21.863695
0,3,21.872032
0.928,10,21.896759
0.568,60,22.530981
0,5,22.542859
0.9352,9,22.564754
0,125,23.356484
0,8,23.376193
0,3,23.38354
0,19,23.432612
0,7,23.450612
0,1,23.453475
0.5248,66,24.102371
0.9352,9,24.124099
0.928,10,24.146856
0,26,24.210065
0.9784,3,24.217772
0,16,24.258104
0,3,24.265527
0,125,25.05799
0,9,25.080803
0.7912,29,25.694846
0,6,25.710488
0.964,5,25.723238
0,5,25.736409
0,125,26.619864
0,23,26.67539
0,1,26.678355
0.8416,22,26.732725
0,7,26.750788
0,47,27.432626
0,62,27.587237
0,13,27.620815
0.964,5,27.633317
0,62,28.373111
0.8848,16,28.413185
0,125,29.245611
0,6,29.26049
0,125,30.06285
0,2,30.06829
0.9856,2,30.073522
0.964,5,30.087117
0.9712,4,30.097133
0.9928,1,30.099828
0,1,30.102416
0.9928,1,30.10539
0,18,30.151216
0,58,30.296805
0.7984,28,30.855376
0.9352,9,30.878723
0.9856,2,30.884287
0.7984,28,30.95469
0,2,30.959709
0,39,31.059017
0.9712,4,31.068886
0,36,31.648935
0.9928,1,31.652199
0.6832,44,31.760986
0.892,15,31.798239
0,54,32.45186
0,3,32.459249
0,23,32.518974
0,4,32.52984
0.6472,49,32.651681
0.856,20,32.702285
0.9136,12,32.732298
0.5392,64,33.379525
0.8848,16,33.418635
0.9856,2,33.423477
0,4,33.434729
0,8,33.455683
0,3,33.463682
0,9,33.485961
0.7912,29,33.555863
0.8488,21,34.096182
0,74,34.273111
0.9928,1,34.275679
0.964,5,34.28821
0.8776,17,34.331299
0.9856,2,34.336095
0,16,34.864606
0.3592,89,35.08515
0.8776,17,35.127501
0,10,35.154154
0,7,35.172113
0.9856,2,35.177349
0.9928,1,35.671197
0.9352,9,35.692044
0.9928,1,35.694894
0.5248,66,35.862034
0.7696,32,35.941473
0.9496,7,35.959006
0,50,36.60657
0.9352,9,36.629593
0.9856,2,36.635236
0,125,37.468819
0,4,37.479278
0.568,60,37.630604
0.6976,42,38.303124
0.9856,2,38.308089
0.9928,1,38.310932
0.6256,52,38.440834
0.9496,7,38.458558
0.9856,2,38.463742
0,17,38.505253
0,3,38.512935
0,33,39.170985
0,45,39.284995
0.6832,44,39.398997
0,10,39.42552
0.7264,38,40.07907
0,1,40.081601
0,30,40.156112
0,4,40.166759
0.9208,11,40.193815
0,3,40.202106
0,3,40.209776
0.928,10,40.234703
0.8992,14,40.270703
0,3,40.278511
0.9352,9,40.300779
0.8992,14,40.336417
0.8272,24,40.964376
0,23,41.023747
