#{"t_start": 1680170597.420556, "env_id": "MiniGrid-Fetch-5x5-N2-v0"}
r,l,t
0.5104,68,1.242867
0,62,1.99123
0,13,2.023575
0,41,2.124856
0,32,2.205802
0,125,3.079853
0.856,20,3.12874
0.604,55,3.816921
0,125,4.694383
0.9784,3,4.702473
0,76,4.889528
0,48,5.58212
0,51,5.709924
0.8632,19,5.755348
0,23,5.813471
0.82,25,6.436003
0,22,6.490453
0,46,6.60488
0,23,6.662682
0,125,7.554208
0,2,7.559381
0,27,8.210982
0,13,8.244474
0.4312,79,8.442039
0,55,9.154171
0,4,9.163879
0,17,9.204668
0.3304,93,10.004617
0.8128,26,10.065262
0.9208,11,10.093228
0,72,10.273531
0.5032,69,10.945078
0.7552,34,11.027418
0,4,11.037381
0.9784,3,11.045034
0,9,11.068405
0.9928,1,11.071182
0.6256,52,11.691114
0,42,11.796897
0,5,11.809001
0,125,12.604501
0,9,12.626861
0.6976,42,13.219357
0,58,13.361738
0.604,55,13.504138
0,49,14.130655
0,6,14.146037
0.9496,7,14.1629
0,1,14.165663
0.5824,58,14.308102
0,27,14.868132
0.9352,9,14.890525
0.8704,18,14.937579
0,125,15.733954
0,4,15.744562
0,37,15.837059
0.9424,8,15.856253
0,8,15.875523
0,51,16.540599
0.8416,22,16.595094
0.856,20,16.64496
0.8128,26,16.711797
0.9136,12,16.741311
0,10,16.766104
0,44,17.441806
0.5464,63,17.592545
0,18,17.6379
0.9352,9,17.659509
0.424,80,18.367783
0.6688,46,18.485677
0.7624,33,19.056719
0,5,19.069387
0.9784,3,19.076705
0,72,19.256085
0.9928,1,19.258752
0,13,19.289611
0.964,5,19.30169
0,10,19.326084
0.964,5,19.339188
0,1,19.341798
0,12,19.866796
0.9352,9,19.889298
0,8,19.909404
0.892,15,19.948517
0,3,19.956279
0.6256,52,20.082484
0.9856,2,20.087522
0.8056,27,20.153526
0,12,20.673557
0.9856,2,20.679073
0.928,10,20.703554
0.7984,28,20.773807
0,72,20.952396
0.9064,13,21.473959
0.7984,28,21.543178
0,18,21.71664
0.8992,14,21.750857
0.9496,7,21.767971
0,66,22.422924
0.8704,18,22.466463
0,73,22.642365
0,5,22.653755
0,20,23.192828
0,125,23.499134
0.9856,2,23.504267
0,125,24.297775
0,16,24.825338
0,6,24.839591
0,7,24.856614
0,49,24.972475
0.9208,11,24.998944
0,7,25.016779
0,2,25.021838
0.9712,4,25.032571
0.856,20,25.082703
0,2,25.087845
0.892,15,25.667384
0,121,26.542222
0,16,26.581996
0,3,26.589416
0.7768,31,26.665421
0.8488,21,26.717036
0.9856,2,26.72284
0,56,27.426631
0.928,10,27.452295
0,1,27.455596
0.4168,81,27.658179
0,3,27.666064
0,37,28.342356
0,99,28.592647
0.6976,42,29.216481
0.8992,14,29.250822
0,125,30.052418
0,11,30.081274
0.9928,1,30.084032
0.8488,21,30.137808
0,15,30.176039
0.9784,3,30.184138
0.9856,2,30.189272
0,125,30.992487
0,33,31.076958
0.8632,19,31.613823
0,2,31.618835
0.928,10,31.643563
0,125,32.475011
0,2,32.480338
0,2,32.485381
0.9928,1,32.488695
0,2,32.493764
0,12,32.524337
0.7192,39,32.621241
0.8056,27,32.689363
0.9928,1,32.692169
0,19,32.739696
0,24,33.287477
0.9856,2,33.293066
0,9,33.315819
0.9496,7,33.332759
0,23,33.389997
0,8,33.408784
0.9352,9,33.431002
0.964,5,33.444922
0.7336,37,33.536503
0.9424,8,33.555362
0,106,34.300005
0.9856,2,34.305913
0.9928,1,34.308582
0.8632,19,34.355854
0,5,34.367849
0,125,35.169005
0,46,35.775354
0.9856,2,35.780638
0.1504,118,36.598978
0.3664,88,36.818021
0,16,37.381611
0,52,37.511726
0,26,37.577391
0.9928,1,37.580215
0.9496,7,37.598075
0.8992,14,37.632594
0.9712,4,37.643732
0,4,37.653841
0.928,10,37.677163
0,9,38.268266
0.9712,4,38.278136
0,49,38.399673
0,38,38.495602
0.712,40,39.169748
0,2,39.176203
0.9928,1,39.179353
0.9928,1,39.182461
0,3,39.190253
0,14,39.226046
0.9856,2,39.231741
0.5824,58,39.376886
0.8704,18,39.424399
0,1,39.427365
0.8992,14,39.467947
0.856,20,40.070146
0.9712,4,40.081057
0,11,40.108547
0.6832,44,40.219346
0.7048,41,40.3229
0,10,40.348314
0.9928,1,40.920222
0,52,41.049987
0,47,41.162798
0.9136,12,41.196227
0,5,41.208629
0.7768,31,41.86833
0.9352,9,41.891415
0,6,41.907584
0,16,41.948696
0,6,41.964308
0,55,42.477048
0,10,42.502129
0,27,43.134683
0.9424,8,43.153867
0.9928,1,43.156813
0.9856,2,43.161692
0.9136,12,43.191008
0.8776,17,43.232138
0.82,25,43.291341
0,11,43.318957
0,19,43.365234
0,6,43.380774
0.6688,46,44.061314
0.2872,99,44.875113
0,8,44.895274
0,1,44.897973
0.9208,11,44.92485
0.9712,4,44.935187
0,4,44.945347
0,6,44.9616
0,21,45.014907
0.82,25,45.077301
0,125,45.954132
0,12,45.982404
0.9928,1,45.98512
0.7912,29,46.61946
0,6,46.633677
0.3808,86,46.846403
0,4,46.857294
0,8,46.880467
0.7552,34,47.536077
0,125,48.408504
0,12,48.436003
0.9568,6,48.451046
0.9928,1,48.453786
0,125,49.324548
0,1,49.327225
0.8776,17,49.372991
0,3,49.380567
0,1,49.383679
0.9928,1,49.386445
0,1,49.38925
0,5,49.402362
0.6688,46,49.517472
0,125,50.405897
0.8848,16,50.447866
0.7552,34,51.127117
0.7264,38,51.226943
0.9856,2,51.232479
0,3,51.240921
0,8,51.260732
0,1,51.263763
0.9928,1,51.266855
0.9208,11,51.294444
0.28,100,52.122503
0.9928,1,52.125771
0.9568,6,52.141207
0,117,53.014615
0,30,53.090332
0.9856,2,53.096428
0,57,53.836242
0.856,20,53.887001
0,42,53.995197
0,8,54.015955
0,1,54.018637
0.928,10,54.043214
0,59,54.771224
0.6616,47,54.888372
0,4,54.898409
0.892,15,54.933719
0,83,55.710765
0.676,45,55.825354
0,3,55.832973
0.9712,4,55.843877
0,2,55.848937
0.9928,1,55.851924
0.5104,68,56.598877
0.9712,4,56.609335
0.784,30,56.685904
0.9064,13,56.716738
0,29,56.790513
0.9856,2,56.795993
0.964,5,56.809119
0.964,5,56.822353
0.9856,2,57.403986
0,125,57.713512
0.964,5,58.303655
0,125,59.19212
0.9784,3,59.199711
0.9136,12,59.228912
0.9928,1,59.231734
0,21,59.283707
0,2,59.289346
0,4,59.299836
0.8056,27,59.365646
0.9856,2,59.37115
0.5752,59,60.088246
0.892,15,60.123843
0.9928,1,60.12673
0,3,60.13492
0.9352,9,60.156656
0,25,60.219181
0.9352,9,60.242279
0,61,60.396242
0,3,60.980887
0,20,61.03051
0.4384,78,61.224776
0,32,61.891287
0,52,62.023715
0.9784,3,62.031122
0.964,5,62.046737
0,6,62.061255
0.8776,17,62.104312
0.8632,19,62.150988
0,125,63.046097
0,9,63.069202
0.9136,12,63.099469
0.928,10,63.703165
0,12,63.734725
0.82,25,63.801317
0.8344,23,63.86154
0.964,5,63.874026
0.856,20,63.923814
0.8632,19,63.973564
0,2,63.979176
0.7696,32,64.636439
0.928,10,64.660715
0.3448,91,65.133221
0.964,5,65.145423
0.6472,49,65.842278
0.7048,41,65.940581
0,3,65.948385
0.9424,8,65.968979
0.9136,12,65.997858
0,10,66.024565
0.892,15,66.639435
0.5752,59,66.789599
0.892,15,66.826593
0.5176,67,67.572032
0,17,67.61453
0,89,67.833332
0,19,68.457262
0.7552,34,68.544703
0.9928,1,68.548171
0,9,68.570602
0.9568,6,68.585991
0.8992,14,68.620289
0.748,35,68.708211
0.9784,3,68.716416
0.1072,124,69.604546
0,47,70.300362
0,12,70.331401
0,5,70.343484
0.9928,1,70.346074
0,11,70.374675
0.9928,1,70.377553
0.964,5,70.390059
0,8,70.409955
0,21,70.460595
0,1,70.463608
0.9856,2,70.46906
0,5,70.48214
0.9424,8,70.502794
0.9496,7,70.521464
0,70,71.262194
0.928,10,71.28828
0,125,72.170175
0.964,5,72.182949
0.7624,33,72.263847
0.7984,28,72.915753
0,4,72.926975
0,5,72.939634
0.8704,18,72.9854
0.7624,33,73.067768
0,31,73.14783
0,16,73.188605
0.7408,36,73.857307
0.9352,9,73.879706
0.964,5,73.892999
0,10,73.91708
0,8,73.936759
0.8272,24,74.015857
0.892,15,74.06457
0.9064,13,74.109359
0,1,74.11296
0.9856,2,74.118099
0.892,15,74.165855
0,11,74.800469
0.9352,9,74.823411
0,5,74.836868
0.9136,12,74.868596
0,15,74.905998
0,9,74.929421
0,5,74.942846
0,11,74.970625
0.8776,17,75.013502
0,37,75.108755
0,125,76.119823
0.9856,2,76.125169
0,43,76.908327
0,18,76.954258
0.928,10,76.980661
0,3,76.988725
0,14,77.02232
0,45,77.720358
0,12,77.752228
0,2,77.75801
0,8,77.77868
0.4024,83,78.010658
0.9928,1,78.013554
0,3,78.02187
0.9568,6,78.038961
0.8632,19,78.759775
0,125,79.757537
0,14,79.792162
0.8056,27,79.862243
0,68,80.03479
0.9712,4,80.046607
0,7,80.064993
0,4,80.075524
0.8848,16,80.691738
0,11,80.727714
0,125,81.729388
0,32,81.808337
0.928,10,81.835004
0,125,82.844828
0,20,82.897584
0,1,82.900409
0,18,82.947368
0,60,83.735921
0,11,83.770981
0.9928,1,83.775858
0,11,83.815626
0.9856,2,83.824981
0.8488,21,83.88218
0.9856,2,83.887517
0,8,83.906514
0.6328,51,84.619158
0.9568,6,84.634966
0.9208,11,84.662999
0,3,84.671327
0,1,84.674082
0,12,84.704431
0.9568,6,84.718678
0,5,84.731517
