#{"t_start": 1680170597.4176018, "env_id": "MiniGrid-Fetch-5x5-N2-v0"}
r,l,t
0.7264,38,1.169013
0,71,1.347517
0.7264,38,2.035811
0,125,2.912516
0,125,3.771139
0.8992,14,3.80604
0.8776,17,3.848807
0.928,10,3.873928
0.4528,76,4.630425
0,30,4.704533
0,43,4.809335
0.9496,7,4.82689
0.9712,4,4.837225
0,97,5.652613
0,3,5.660417
0.5752,59,5.805601
0.316,95,6.60198
0.64,50,7.315316
0,125,8.203434
0.7336,37,8.296516
0,1,8.299646
0,8,8.320446
0.8992,14,8.35396
0,4,8.364068
0.892,15,8.40206
0,18,8.4472
0,9,8.471229
0,26,9.108401
0,80,9.306777
0.9424,8,9.326783
0,96,10.131186
0,125,10.942379
0.2872,99,11.678519
0.9784,3,11.685513
0,4,11.696214
0.9928,1,11.698916
0.892,15,11.73606
0.8344,23,11.794025
0.8848,16,11.834008
0,16,11.872413
0.7768,31,12.439109
0.6328,51,12.563305
0,15,12.599296
0.9496,7,12.617003
0.9928,1,12.619718
0,74,13.29022
0.8632,19,13.337644
0.9784,3,13.344606
0.9208,11,13.372419
0.964,5,13.385375
0.9208,11,13.413934
0.964,5,13.427286
0,19,13.475032
0,10,13.501577
0,21,14.060536
0,48,14.178347
0,7,14.196504
0.7336,37,14.285306
0,5,14.297982
0,17,14.339934
0,13,14.864315
0,1,14.86722
0.9568,6,14.883089
0.928,10,14.908648
0,3,14.916161
0,42,15.022222
0,2,15.027083
0.9784,3,15.035324
0.892,15,15.072095
0.8992,14,15.106422
0,2,15.111829
0.9856,2,15.116757
0.9064,13,15.148035
0,27,15.70243
0,106,15.963385
0,15,16.540285
0,55,16.679557
0,10,16.704317
0.8056,27,16.771171
0.8344,23,16.828028
0,5,17.408682
0,32,17.486504
0,45,17.591814
0,2,17.597691
0.928,10,17.622527
0.9568,6,17.637624
0,16,17.677844
0.8416,22,18.23966
0.8488,21,18.291807
0,20,18.341857
0.8632,19,18.390078
0,125,19.195461
0,18,19.238847
0.892,15,19.275647
0,15,19.311621
0.6832,44,19.916974
0.9856,2,19.922996
0.8704,18,19.968082
0.9208,11,19.994851
0,125,20.794103
0,2,20.799131
0,6,20.814508
0,36,20.90254
0,6,20.917748
0,1,20.920612
0.9568,6,20.935484
0.9136,12,20.964942
0.3448,91,21.808
0.676,45,22.411227
0,13,22.442339
0,81,22.637424
0.9928,1,22.640043
0,18,22.683145
0.8992,14,23.208287
0.4456,77,23.3934
0,8,23.414522
0.4744,73,24.082155
0.5104,68,24.247171
0.8704,18,24.292794
0,98,25.016653
0.9208,11,25.04493
0.9424,8,25.065377
0,42,25.712725
0.5392,64,25.87402
0.8848,16,25.915384
0,3,25.92346
0.928,10,25.947639
0,125,26.824808
0,1,26.827622
0,2,26.832603
0.9928,1,26.835197
0,125,27.715514
0.8488,21,28.352489
0.6616,47,28.470147
0,125,29.301021
0.9856,2,29.306215
0,54,29.441179
0.9928,1,29.443797
0,1,29.446644
0,6,29.46161
0.9856,2,29.466503
0,4,29.476496
0.9928,1,29.479079
0,1,29.481956
0,125,30.288214
0,3,30.296205
0,6,30.801499
0,19,30.848222
0,125,31.653314
0,1,31.656524
0.9784,3,31.66435
0,21,31.7167
0,95,32.471602
0,7,32.490639
0,6,32.505621
0.9712,4,32.515912
0,28,32.587251
0.8704,18,32.631266
0,125,33.43072
0,3,33.438987
0,125,34.232133
0,33,34.313707
0.9928,1,34.316261
0,1,34.318878
0.4024,83,35.011961
0,12,35.040766
0,1,35.043874
0.8848,16,35.084821
0.928,10,35.108286
0,1,35.110872
0.9568,6,35.12672
0.928,10,35.152978
0.9928,1,35.15579
0,4,35.166298
0,6,35.18183
0,18,35.716268
0,12,35.746269
0.9784,3,35.75383
0,1,35.756796
0,79,35.956387
0.1288,121,36.779994
0.9928,1,36.782718
0.9208,11,36.809936
0.9784,3,36.817716
0.8776,17,37.383664
0.9568,6,37.398785
0,30,37.473126
0,125,38.354958
0,24,38.414515
0,7,38.432208
0.9712,4,38.442873
0,125,39.333233
0.82,25,39.398508
0,25,39.467198
0.8344,23,40.078259
0.9712,4,40.088939
0,8,40.108423
0.9496,7,40.125938
0,32,40.206473
0,17,40.250175
0,17,40.293119
0.856,20,40.34386
0.8848,16,40.951249
0,5,40.963642
0,3,40.971931
0,7,40.989165
0.9064,13,41.022793
0,83,41.228974
0,4,41.239618
0,15,41.857634
0,5,41.870503
0,4,41.880954
0,93,42.492065
0,4,42.501878
0,4,42.512165
0.9928,1,42.514923
0,2,42.519829
0,14,43.120463
0,5,43.13208
0,20,43.181458
0.4024,83,43.382867
0.964,5,43.395981
0.9928,1,43.398772
0,14,44.000908
0.28,100,44.248698
0.9856,2,44.253711
0.9784,3,44.261194
0.9064,13,44.859592
0,5,44.872061
0,8,44.892444
0,24,44.953079
0.9712,4,44.963663
0,125,45.839805
0,2,45.84502
0.856,20,45.895068
0.28,100,46.704883
0.9568,6,46.719563
0.9856,2,46.724675
0,1,46.727529
0,4,46.737948
0.7264,38,46.830632
0.964,5,46.843414
0,11,46.875357
0.5896,57,47.586409
0,2,47.592126
0,8,47.612611
0.964,5,47.624343
0,125,48.496339
0,39,48.58956
0.9784,3,48.597167
0.9856,2,48.60219
0.9856,2,48.607315
0.9784,3,48.614877
0,16,48.654325
0.928,10,48.678739
0.9784,3,48.686341
0.9712,4,48.696218
0.8272,24,49.319179
0,18,49.368066
0.4024,83,49.576789
0,2,49.582023
0,5,50.167496
0,65,50.331511
0.9856,2,50.337735
0,18,50.38198
0,20,50.435274
0.9496,7,50.453095
0,2,50.458544
0.964,5,50.470981
0,82,51.276677
0,2,51.281929
0,7,51.299623
0.9928,1,51.302595
0.8416,22,51.356678
0.9712,4,51.365921
0,9,51.387531
0,26,52.032084
0.928,10,52.056899
0.4672,74,52.242365
0,125,53.140861
0.9928,1,53.143898
0,6,53.15869
0,30,53.827212
0,1,53.830154
0.9928,1,53.833406
0.9064,13,53.866128
0.9712,4,53.876012
0.9856,2,53.881812
0.928,10,53.908675
0.8488,21,53.96193
0.964,5,53.975071
0,39,54.072785
0.4528,76,54.84271
0,1,54.845867
0.2944,98,55.660105
0,36,55.748839
0,2,55.75459
0.2872,99,56.580992
0.9208,11,56.608924
0.9856,2,56.614502
0.9208,11,56.641651
0.9928,1,56.644738
0.9928,1,56.647463
0.9712,4,56.658426
0.9496,7,56.675831
0.8128,26,56.738984
0,6,56.755488
0,92,57.562256
0,24,57.619948
0,6,57.636228
