#{"t_start": 1680170597.424357, "env_id": "MiniGrid-Fetch-5x5-N2-v0"}
r,l,t
0,3,65.870335
0,125,66.762067
0.8992,14,66.796017
0,2,66.801003
0,3,66.808534
0.9496,7,66.826287
0,3,66.833837
0,4,66.84443
0.8344,23,66.902229
0,6,66.917693
0.9784,3,66.925228
0,5,66.938345
0,125,67.82239
0,22,68.454421
0.9136,12,68.484467
0.6832,44,68.59727
0.8488,21,68.649965
0.9352,9,68.672291
0,5,68.68485
0.8992,14,68.721502
0,10,69.318542
0.8776,17,69.361708
0.4384,78,69.558753
0.9568,6,69.574981
0.9496,7,69.59333
0.9856,2,69.598453
0.748,35,70.266656
0,73,70.447497
0.9424,8,70.468555
0.928,10,70.494394
0.9856,2,70.500036
0,2,70.505213
0,7,70.523381
0.4168,81,71.292929
0.964,5,71.306132
0.9856,2,71.311428
0.6184,53,72.006795
0,1,72.009614
0.9568,6,72.023981
0.9784,3,72.032094
0,7,72.049705
0,7,72.069046
0.9928,1,72.071848
0,21,72.125459
0,8,72.145777
0.9712,4,72.15678
0,9,72.18021
0,5,72.193195
0.9928,1,72.195935
0.9712,4,72.205663
0.9136,12,72.235022
0.7264,38,72.909983
0.9784,3,72.918184
0.6688,46,73.034654
0,2,73.039894
0.8848,16,73.079877
0.9712,4,73.090711
0.9712,4,73.102398
0,57,73.822315
0.9856,2,73.828199
0,125,74.80296
0,2,74.807982
0.9424,8,74.828667
0.9856,2,74.834147
0.3664,88,75.059046
0,4,75.069007
0,3,75.076751
0.964,5,75.08916
0.9712,4,75.100536
0,44,75.904553
0,1,75.907587
0.928,10,75.933643
0.9712,4,75.944016
0.964,5,75.956333
0,16,75.99518
0,33,76.080345
0.9784,3,76.087667
0,125,77.081609
0,35,77.755311
0.964,5,77.76786
0,3,77.775807
0,17,77.817926
0.9928,1,77.820647
0.9136,12,77.854927
0,23,77.916996
0,9,77.948975
0,14,77.98942
0.8848,16,78.032706
0,4,78.044776
0,71,78.895549
0,125,79.893824
0,2,79.89937
0.9568,6,79.914194
0.964,5,79.926466
0,16,79.966429
0,15,80.004077
0,1,80.007497
0.9568,6,80.023028
0.9928,1,80.025918
0.9784,3,80.035136
0,20,80.663561
0.964,5,80.676455
0,9,80.702909
0.928,10,80.733947
0,11,80.762237
0,13,80.800192
0,3,80.807793
0.3952,84,81.698465
0.6472,49,81.822039
0.928,10,81.847454
0.748,35,81.935999
0,49,82.75386
0,125,83.703308
0,7,83.72614
0.9928,1,83.729378
0,5,83.746413
0.9424,8,83.773008
0.9856,2,83.782285
0,4,83.794913
0,8,83.824624
0.9856,2,83.829875
0.8848,16,83.873905
