#{"t_start": 1680170597.4224634, "env_id": "MiniGrid-Fetch-5x5-N2-v0"}
r,l,t
0.7048,41,1.174721
0,90,1.992711
0,3,2.000021
0,5,2.012032
0.1576,117,2.301858
0.8992,14,2.903496
0,11,2.930906
0,46,3.041775
0.9352,9,3.065475
0,12,3.095621
0,33,3.176156
0,15,3.764419
0,5,3.777316
0,47,3.894417
0,57,4.032099
0,125,4.912314
0.9712,4,4.922171
0.1216,122,5.798884
0.784,30,6.434884
0,64,6.592621
0.892,15,6.631128
0,2,6.636342
0,26,6.701541
0.6256,52,7.416593
0,41,7.51385
0.8704,18,7.55808
0.5464,63,8.300873
0,6,8.316731
0.9856,2,8.321935
0,60,8.472451
0,8,8.493659
0.5896,57,9.20629
0.928,10,9.230601
0,3,9.238552
0.8848,16,9.277592
0.9352,9,9.300054
0.388,85,10.076305
0,1,10.079589
0,26,10.144641
0.964,5,10.158151
0,1,10.160951
0,18,10.20559
0.136,120,11.002786
0,19,11.048425
0.9208,11,11.076818
0.4816,72,11.746741
0,27,11.81554
0,16,11.853645
0.2728,101,12.590305
0.172,115,13.363225
0.5968,56,13.508196
0.7048,41,14.114351
0,81,14.31486
0.7408,36,14.896957
0,2,14.901821
0.9136,12,14.933235
0.9928,1,14.936343
0,125,15.732753
0.9496,7,15.750083
0.9496,7,15.768408
0,125,16.6157
0,4,16.625707
0.5176,67,16.793845
0.5104,68,17.528538
0,125,18.343638
0.856,20,18.393741
0,125,19.199011
0.9352,9,19.220961
0.9496,7,19.237767
0,38,19.329729
0.3736,87,20.042617
0.8056,27,20.107671
0,62,20.752236
0,1,20.754913
0.9496,7,20.772568
0,10,20.797944
0,33,20.879656
0,60,21.51613
0,47,21.761355
0,2,21.766785
0,4,21.777113
0.8344,23,21.833352
0,8,21.853372
0.9856,2,21.858903
0.712,40,22.448275
0.8992,14,22.482014
0,3,22.489237
0,75,22.669151
0,52,23.286545
0.4672,74,23.468636
0.5536,62,24.108073
0.9784,3,24.115328
0,76,24.301238
0.5248,66,24.946142
0,8,24.965836
0.9856,2,24.971255
0,7,24.987874
0.9352,9,25.009906
0.5608,61,25.705772
0.9352,9,25.729421
0.9784,3,25.736825
0.6184,53,25.870481
0.9424,8,25.890164
0.964,5,25.90324
0.8272,24,25.964425
0.9784,3,26.541095
0,37,26.63302
0.6832,44,26.741382
0,2,26.746571
0,23,26.802062
0,49,27.491637
0.9424,8,27.511539
0,17,27.553108
0.8416,22,27.608141
0.9856,2,27.613372
0.9856,2,27.618546
0.9496,7,27.636867
0.964,5,27.649184
0.9496,7,27.667322
0.9856,2,27.67258
0.9568,6,27.687191
0.964,5,27.699345
0.9856,2,27.704458
0.6184,53,28.422328
0.8056,27,28.487652
0.9928,1,28.490924
0.8416,22,28.546272
0.9352,9,28.569083
0,2,28.574508
0,1,28.577239
0,4,28.588363
0,7,28.606579
0.9856,2,28.611616
0.892,15,28.6501
0,9,29.190006
0.9928,1,29.192743
0,60,29.340341
0.8992,14,29.375845
0.8056,27,29.442973
0.8992,14,29.478348
0.928,10,29.992656
0,22,30.047665
0.64,50,30.177417
0.9712,4,30.188028
0.9496,7,30.205945
0,49,30.817905
0,18,30.861597
0.9712,4,30.872326
0,4,30.882246
0.9352,9,30.904592
0,34,30.991314
0,14,31.027974
0,35,31.604217
0,110,31.876127
0.3448,91,32.627724
0.9928,1,32.630531
0,75,33.306675
0.9856,2,33.311589
0.9352,9,33.33458
0.8488,21,33.385691
0,25,33.448728
0.9928,1,33.451422
0,54,34.072844
0.5104,68,34.235643
0,5,34.247231
0,8,34.266401
0.9856,2,34.271257
0.9496,7,34.28863
0.5968,56,34.916438
0,3,34.923853
0.9928,1,34.926718
0.9784,3,34.93412
0,43,35.040246
0,14,35.075814
0.46,75,35.755555
0.9784,3,35.762748
0.9424,8,35.785152
0,22,35.839327
0.9784,3,35.846833
0,1,35.849948
0.9136,12,35.880841
0,13,35.911474
0.9712,4,35.922282
0,23,35.980904
0.9928,1,35.983818
0,125,36.816778
0,13,37.371881
0.9856,2,37.376963
0.64,50,37.502518
0.9712,4,37.513067
0.7336,37,37.60703
0,70,38.34838
0,1,38.351242
0.892,15,38.388281
0,6,38.403393
0.9424,8,38.423153
0.9856,2,38.428693
0,1,38.431405
0.9352,9,38.454274
0.5968,56,39.16858
0,1,39.171368
0.9928,1,39.175001
0,26,39.241878
0,24,39.301001
0.8992,14,39.337157
0.9208,11,39.365483
0.964,5,39.378448
0.8848,16,39.420042
0,125,40.294211
0,30,40.937216
0.8632,19,40.985533
0.9928,1,40.988518
0,3,40.996072
0.9856,2,41.001152
0.496,70,41.170866
0,10,41.199565
0.9928,1,41.202233
0,6,41.217517
0,11,41.826291
0.9352,9,41.848653
0.9784,3,41.856783
0.8992,14,41.892578
0,42,42.001983
0,5,42.01395
0,46,42.50314
0.6256,52,43.197181
0.8848,16,43.235649
0,71,43.976312
0.9568,6,43.991619
0,125,44.868553
0,125,45.746983
0,4,45.756612
0.9496,7,45.774139
0.9208,11,45.801628
0.7336,37,45.894229
0,73,46.637002
0.928,10,46.660881
0.9856,2,46.665877
0,9,46.688439
0.964,5,46.701243
0.9352,9,46.723881
0.8056,27,46.790834
0.5536,62,47.519224
0.9784,3,47.527189
0.9568,6,47.541544
0.9352,9,47.562342
0.9928,1,47.56534
0.964,5,47.577509
0,9,47.601247
0.4168,81,47.796962
0,3,47.804884
0.9928,1,47.808165
0.7696,32,48.452555
0.9568,6,48.468696
0,3,48.476372
0.6112,54,48.605766
0.5608,61,49.320302
0.2152,109,50.17132
0.9496,7,50.188888
0,22,50.243838
0.856,20,50.292689
0,6,50.310464
0.6904,43,50.420885
0.9064,13,50.454989
