#{"t_start": 1680170597.4215147, "env_id": "MiniGrid-Fetch-5x5-N2-v0"}
r,l,t
0,125,1.383392
0.7912,29,2.050276
0,15,2.087918
0.4528,76,2.274871
0,8,2.294792
0,125,3.169615
0,14,3.755086
0,20,3.805626
0.8272,24,3.865156
0.7912,29,3.936832
0.8272,24,3.994179
0,37,4.656089
0,125,5.540972
0.6904,43,5.646434
0.9856,2,5.652173
0.8848,16,5.691734
0,1,5.694572
0.316,95,6.490009
0.8704,18,6.535672
0,19,6.580717
0.7264,38,6.67728
0.9928,1,6.680044
0,36,7.357571
0,49,7.47516
0,125,8.368361
0.7696,32,8.4492
0,37,9.115589
0,4,9.126102
0,9,9.148488
0.8488,21,9.198983
0.9784,3,9.206788
0.1072,124,10.080019
0,9,10.10285
0,4,10.113019
0.9928,1,10.115983
0,14,10.150389
0.964,5,10.16468
0.784,30,10.237563
0.8416,22,10.79711
0,55,10.928675
0.4672,74,11.603563
0.892,15,11.641065
0,32,11.720105
0.9136,12,11.750242
0.9568,6,11.764951
0,2,11.770261
0,125,12.567208
0.4312,79,13.250264
0,13,13.281625
0.784,30,13.355535
0,3,13.363648
0,6,13.379426
0.9064,13,13.413472
0,76,14.109411
0,2,14.114768
0,37,14.207248
0.82,25,14.267073
0,13,14.300147
0.9712,4,14.310086
0,16,14.349627
0.7552,34,14.928243
0,7,14.947012
0.964,5,14.960247
0.8056,27,15.026797
0.9856,2,15.032518
0.4096,82,15.720464
0,18,15.766317
0,9,15.788671
0,6,15.803826
0,43,15.907965
0.7984,28,16.517635
0,48,16.636618
0,7,16.654551
0.9856,2,16.659736
0,87,17.444258
0.9568,6,17.45881
0,3,17.466166
0,104,18.226214
0.7552,34,18.311156
0.928,10,18.336034
0.6472,49,18.462726
0.8344,23,18.518571
0.9424,8,19.028073
0.7984,28,19.10058
0,125,19.90294
0.9712,4,19.914093
0.9928,1,19.916999
0,106,20.667661
0,16,20.707826
0.964,5,20.720533
0.964,5,20.732903
0.892,15,20.77034
0.9784,3,20.77835
0,13,20.811657
0,24,20.870282
0,24,20.929516
0.9424,8,20.94912
0.9928,1,20.951875
0.6616,47,21.556557
0.712,40,21.785051
0.8776,17,21.826653
0,112,22.590904
0.9784,3,22.598838
0,125,23.39055
0.9496,7,23.408657
0.4888,71,24.071714
0.9064,13,24.103511
0.6112,54,24.233707
0.8488,21,24.286901
0.9136,12,24.805422
0.3088,96,25.036802
0,23,25.094173
0,57,25.780076
0,8,25.800027
0.9712,4,25.809876
0,13,25.842717
0.2008,111,26.689162
0,9,26.711243
0,2,26.716655
0.9856,2,26.722435
0,72,27.467758
0,40,27.566383
0,43,27.676331
0.8416,22,27.729926
0.5752,59,28.461842
0,12,28.491313
0,13,28.52511
0,25,28.588876
0.9136,12,28.620543
0.9856,2,28.625645
0,4,28.635396
0,9,29.175496
0.9424,8,29.196192
0,3,29.204326
0.9424,8,29.223042
0.9784,3,29.230752
0,73,29.410892
0.9712,4,29.420541
0.5752,59,30.058919
0,125,30.865082
0.9784,3,30.872743
0,17,30.914799
0.9928,1,30.917508
0.9712,4,30.927288
0.964,5,30.940563
0.9928,1,30.943324
0,15,30.980816
0.9784,3,30.988795
0.4816,72,31.661502
0.9712,4,31.671652
0.9928,1,31.674542
0,31,31.749357
0.964,5,31.762081
0.9784,3,31.770127
0,11,31.796663
0.6544,48,31.912554
0,38,32.534188
0.7696,32,32.61252
0.8488,21,32.666416
0.9784,3,32.673699
0.9208,11,32.701191
0.9352,9,32.723355
0.8704,18,33.258443
0,125,33.56719
0.748,35,34.141669
0,29,34.209206
0.9856,2,34.214709
0,4,34.224036
0,25,34.284287
0.9496,7,34.302161
0,9,34.325232
0.9424,8,34.344669
0,125,35.144742
0,53,35.768656
0,4,35.780083
0,2,35.785615
0.9712,4,35.796223
0,32,35.876315
0,19,35.922665
0.9928,1,35.925856
0,9,35.947843
0,6,35.963278
0.9928,1,35.966249
0.9856,2,35.971489
0,4,35.981407
0.3808,86,36.718429
0.9064,13,36.749938
0.9856,2,36.755126
0.9784,3,36.762995
0,125,37.600053
0.5032,69,38.339265
0,12,38.369014
0,1,38.371858
0,125,39.26142
0.4456,77,39.464381
0.9568,6,40.031387
0,2,40.036681
0,5,40.049206
0.7624,33,40.132534
0.1792,114,40.989019
0.3376,92,41.218003
0,12,41.829863
0,20,41.8805
0.9856,2,41.885421
0.9496,7,41.903621
0.82,25,41.969175
0.9928,1,41.971888
0.9856,2,41.976907
0,2,41.982684
0.7408,36,42.072123
0,10,42.471341
0.5608,61,43.187584
0,5,43.200619
0,89,43.984735
0.7192,39,44.080773
0,2,44.08607
0.9856,2,44.091471
0.856,20,44.138886
0,125,45.021898
0.9352,9,45.043766
0,9,45.065996
0.8272,24,45.123897
0,125,46.001736
0.2368,106,46.82466
0.928,10,46.851098
0.892,15,46.892147
0.8416,22,47.516987
0.9856,2,47.522609
0.8488,21,47.573399
0,4,47.583586
0,2,47.58925
0,2,47.594039
0,125,48.466751
0,13,48.497913
0,8,48.517885
0.712,40,48.614428
0,12,48.643702
0,29,49.280404
0.9856,2,49.285834
0,19,49.331451
0.9928,1,49.334723
0.9784,3,49.343385
0.9784,3,49.351245
0.9856,2,49.356868
0.82,25,49.421316
0.9856,2,49.426377
0.9856,2,49.431493
0,5,49.443899
0,5,49.455714
0.9784,3,49.463269
0,125,50.352851
0,94,51.184027
0.9712,4,51.197361
0,4,51.206769
0.9424,8,51.228986
0,6,51.245037
0.964,5,51.257197
0,2,51.263402
0,15,51.302481
0.8848,16,51.341834
0,43,52.026122
0,31,52.103824
0,12,52.135468
0.8056,27,52.20152
0.1072,124,53.096021
0,1,53.098781
0,25,53.16352
0.9424,8,53.184328
0.7552,34,53.863267
0.9352,9,53.886602
0,6,53.90281
0.676,45,54.018256
0,20,54.066724
0.9352,9,54.088997
0.8992,14,54.123652
0.9568,6,54.719527
0.9496,7,54.738
0,49,54.859646
0.9928,1,54.862592
0,125,55.742474
0,9,55.767343
0,125,56.660569
0,34,56.743554
0.3232,94,57.556387
0,2,57.561977
0.8344,23,57.61716
0,2,57.622324
0.9856,2,57.627468
0,125,58.515497
0.9568,6,58.530841
0,14,58.567802
0,53,59.274574
0,47,59.392508
0.9712,4,59.402525
0.7768,31,59.476587
0,8,59.495428
0,5,60.08161
0.5464,63,60.238736
0,23,60.297024
0,15,60.335157
0,10,60.360249
0.9928,1,60.363462
0,63,61.095899
0.9784,3,61.103211
0,7,61.121001
0.9208,11,61.147142
0.64,50,61.275465
0,32,61.942826
0,22,61.998385
0,125,62.891375
0,9,62.917021
0.9784,3,62.924907
0,6,62.939476
0,4,62.9496
0,30,63.024486
0.9496,7,63.042235
0.9928,1,63.045693
0,3,63.053894
0.712,40,63.734401
0,4,63.744909
0,1,63.747869
0.8416,22,63.805768
0.8056,27,63.876282
0,48,63.998019
0,2,64.003424
0,3,64.011073
0.9856,2,64.016703
0.3736,87,65.051588
0,3,65.059335
0.8056,27,65.129798
0.4528,76,65.892547
0.64,50,66.014775
0.892,15,66.631058
0,2,66.636065
0.9712,4,66.646803
0.7192,39,66.746257
0,2,66.751679
0.2728,101,67.581258
0.8056,27,67.64888
0.9352,9,67.671695
0.9424,8,67.691847
0.9712,4,67.701924
0.892,15,67.737406
0.9568,6,67.752301
0.856,20,67.799389
0,1,67.802288
0.964,5,67.814524
0.9712,4,67.824435
0.9064,13,68.434267
0.8056,27,68.502465
0,4,68.512799
0.9568,6,68.528093
0.9568,6,68.544303
0,125,69.430832
0,17,69.473211
0,4,69.483443
0.964,5,69.496171
0.9856,2,69.50207
0,2,69.507532
0,53,69.643995
0.9928,1,70.228242
0,1,70.231011
0,125,70.542701
0.8416,22,71.162402
0.8416,22,71.218974
0.964,5,71.231832
0,1,71.234612
0,12,71.264334
0,15,71.302862
0.7912,29,71.378154
0.9784,3,71.386927
0.5608,61,72.102355
0.9424,8,72.122188
0,125,73.019898
0,92,73.830117
0,125,74.804643
0,40,74.908031
0,48,75.030771
0,5,75.042999
0.9712,4,75.053649
0.8848,16,75.094218
0.784,30,75.863797
0,1,75.86651
0,17,75.909576
0,3,75.917723
0,3,75.925308
0.9424,8,75.946095
0.8992,14,75.980026
0,2,75.98531
0.9496,7,76.002795
0.8632,19,76.05093
0.8776,17,76.095088
0,6,76.111156
0,120,77.093051
0.9856,2,77.098946
0.9136,12,77.130243
0.7624,33,77.795112
0.8272,24,77.859921
0.5032,69,78.060349
0,4,78.075145
0,15,78.776642
0.8992,14,78.812136
0.496,70,78.989146
0.9712,4,78.999376
0,20,79.051486
0,33,79.815055
0,2,79.820539
0.9784,3,79.828443
0.4384,78,80.025069
0.9496,7,80.04612
0.9424,8,80.067091
0.928,10,80.668719
0,14,80.70792
0,125,81.713166
0,9,81.735796
0.8416,22,81.790154
0,125,82.802319
0.64,50,82.930674
0,61,83.717476
0.9712,4,83.731067
0,4,83.746075
0,10,83.781426
0.9928,1,83.784186
