#{"t_start": 1680170597.418644, "env_id": "MiniGrid-Fetch-5x5-N2-v0"}
r,l,t
0,32,1.152865
0,125,2.060058
0,36,2.149362
0.316,95,2.950853
0.6832,44,3.057705
0,10,3.084114
0.5536,62,3.787557
0,67,3.953728
0.8992,14,3.98709
0.6544,48,4.6761
0.8632,19,4.724757
0,41,4.823253
0,2,4.828748
0,15,4.865092
0,1,4.867934
0,8,4.888246
0,3,4.896324
0.9928,1,4.898831
0.8704,18,5.518528
0,19,5.563811
0,19,5.611545
0.6112,54,5.744684
0,16,5.78389
0.9784,3,5.791451
0,10,5.817709
0.9928,1,5.820383
0,23,6.437116
0,64,6.595436
0,6,6.611986
0,44,7.30878
0.9352,9,7.332213
0.2656,102,7.5771
0.9568,6,7.59157
0.7336,37,8.270868
0,48,8.391001
0,4,8.401525
0,31,8.481276
0,104,9.310973
0.8632,19,9.357716
0,6,9.372909
0,125,10.250153
0.964,5,10.262533
0,11,10.289376
0,125,11.099449
0.8272,24,11.650659
0.928,10,11.675016
0.9352,9,11.698342
0.928,10,11.722123
0,22,11.777646
0,14,11.813259
0.388,85,12.512192
0,10,12.536474
0.8416,22,12.588099
0.4456,77,13.26696
0.928,10,13.291861
0.9784,3,13.299687
0,37,13.392265
0,13,13.426733
0.856,20,13.476787
0,6,13.492642
0.136,120,14.294424
0.9784,3,14.302147
0,5,14.315152
0.9208,11,14.341926
0,12,14.86376
0.9856,2,14.869371
0.7624,33,14.955029
0,40,15.054078
0,20,15.102822
0.7696,32,15.670457
0,29,15.741136
0,9,15.763617
0,67,15.927497
0.7984,28,16.536787
0,3,16.544962
0,7,16.562387
0.6256,52,16.69355
0,125,17.5662
0.9136,12,17.593657
0.5824,58,18.245978
0,7,18.26382
0,10,18.288182
0.8272,24,18.349455
0.7192,39,18.449571
0.46,75,19.127896
0,3,19.135725
0,7,19.153439
0,25,19.214455
0.9208,11,19.240482
0,1,19.243585
0.8344,23,19.298323
0.2872,99,20.040975
0,125,20.840829
0.424,80,21.527336
0.8416,22,21.580701
0.9856,2,21.586575
0,1,21.717843
0.7624,33,21.799263
0.9856,2,21.80441
0.8848,16,21.843765
0,6,21.859188
0,7,21.878702
0,80,22.561309
0,51,22.685202
0.8776,17,23.217066
0,9,23.238977
0,1,23.241737
0.1576,117,24.017952
0,33,24.095443
0.9928,1,24.098124
0,32,24.174454
0.784,30,24.249102
0,14,24.284352
0,125,25.076891
0,18,25.663713
0,125,26.549359
0,71,26.724021
0.5176,67,27.456564
0,1,27.460045
0.9568,6,27.475379
0.9496,7,27.49172
0.9712,4,27.501804
0,1,27.50441
0,8,27.524517
0,10,27.548987
0,61,27.702004
0,125,28.601679
0.9496,7,28.619709
0,10,28.645594
0,36,29.252079
0.9424,8,29.27169
0,16,29.310564
0.8632,19,29.358051
0.4096,82,30.053637
0.964,5,30.066544
0,5,30.08005
0.8056,27,30.149365
0,2,30.154713
0,1,30.157728
0,17,30.201347
0.9496,7,30.219635
0,16,30.258
0,6,30.272505
0,20,30.812785
0.6544,48,30.932251
0.82,25,30.997576
0,2,31.003398
0,3,31.011137
0.5968,56,31.640189
0,125,32.471085
0.784,30,32.549596
0.9064,13,32.580958
0.9856,2,32.586749
0,14,32.619989
0,16,32.660552
0.9928,1,32.663329
0.8632,19,32.711281
0.9424,8,32.730918
0,125,33.530404
0,5,33.542929
0,6,33.556507
0.9568,6,33.572171
0,11,34.088104
0,7,34.105371
0,6,34.119743
0,11,34.146656
0,125,34.940102
0.856,20,34.989686
0,36,35.078628
0.8272,24,35.139054
0,13,35.173357
0,30,35.738395
0,3,35.745739
0,11,35.774024
0.9496,7,35.7936
0.8272,24,35.852647
0.9496,7,35.871173
0.6256,52,36.522438
0,9,36.545239
0.9136,12,36.575108
0.8344,23,36.633018
0.9352,9,36.65682
0,2,36.661719
0.9856,2,36.666844
0,10,36.691477
0,12,36.720468
0,33,36.801127
0.9928,1,36.803853
0.7336,37,37.420065
0,59,37.568372
0.9496,7,37.586845
0,23,37.644901
0,125,38.52381
0,39,39.200091
0.9928,1,39.203385
0.7192,39,39.298764
0.9784,3,39.306873
0,12,39.33764
0,11,39.365442
0.9928,1,39.368239
0.82,25,39.435441
0,17,40.032963
0,11,40.061422
0.9784,3,40.069109
0.9784,3,40.077735
0.8848,16,40.117471
0.8848,16,40.157146
0,3,40.165338
0.8992,14,40.200335
0.8848,16,40.241636
0.9856,2,40.246643
0.7408,36,40.33704
0,1,40.339986
0,45,41.022279
0,13,41.054298
0,125,41.949855
0,3,41.958284
0,13,41.992382
0.7768,31,42.069033
0,125,43.31535
0,3,43.323467
0,42,43.99439
0.6184,53,44.124322
0,5,44.136321
0.2296,107,44.973667
0,8,44.993965
0,11,45.021613
0.8344,23,45.078562
0.964,5,45.090607
0,56,45.793977
0.9856,2,45.799175
0.9928,1,45.801962
0,27,45.868509
0.9928,1,45.871236
0,2,45.877
0,45,45.98939
0.8488,21,46.039885
0.7624,33,46.683771
0.568,60,46.832974
0.7336,37,46.928642
0.9352,9,47.522092
0.7768,31,47.599009
0,12,47.628589
0.928,10,47.652352
0.9496,7,47.66859
0,58,47.810692
0.7336,37,48.468814
0,40,48.565587
0.5608,61,49.28006
0,24,49.340328
0.9424,8,49.361881
0.6328,51,49.49091
0,6,49.505337
0.9856,2,49.510811
0.9784,3,49.518619
0.8128,26,49.583981
0.8848,16,50.197168
0.8344,23,50.254389
0,22,50.310548
0,8,50.331047
0.9712,4,50.342179
0.9928,1,50.344813
0.8776,17,50.386777
0,125,51.304457
0.9712,4,51.314656
0,56,52.031585
0.9136,12,52.061433
0.28,100,52.888669
0,5,52.90261
0,3,52.910049
0,2,52.915143
0,19,52.963285
0.9856,2,52.969413
0.964,5,52.981432
0.6832,44,53.095177
0.82,25,53.160812
0,42,53.860318
0.8632,19,53.910673
0,4,53.920517
0.9928,1,53.923042
0,3,53.930873
0.9856,2,53.93606
0,26,54.002116
0,3,54.009381
0.5752,59,54.73666
0,4,54.747694
0.9856,2,54.753553
0.748,35,54.83898
0.856,20,54.889508
0,35,54.97531
0,1,54.978369
0,13,55.010509
0,2,55.015924
0.928,10,55.613731
0,5,55.62639
0.6904,43,55.72998
0.2152,109,56.582835
0,9,56.60539
0.5968,56,56.745534
0.7768,31,57.402538
0.9712,4,57.413076
0.9856,2,57.418416
0.9496,7,57.435933
0.8992,14,57.470817
0,72,57.648168
0.9928,1,57.651129
0,32,58.308043
0,112,58.586979
0.964,5,58.599843
0.424,80,59.375494
0.9496,7,59.391891
0,1,59.394551
0.8704,18,59.438442
0,10,59.462101
0,23,60.093019
0.7264,38,60.185832
0.784,30,60.26137
0.7552,34,60.346858
0.5032,69,61.095602
0.6904,43,61.202057
0.9208,11,61.232579
0.9856,2,61.238634
0,32,61.904263
0,2,61.910167
0.9784,3,61.918159
0.9064,13,61.950586
0,12,61.980835
0.7192,39,62.080793
0.9208,11,62.108636
0.8344,23,62.166016
0.9712,4,62.176782
0.8704,18,62.8006
0,125,63.69381
0,18,63.742118
0.964,5,63.75516
0.9712,4,63.766359
0.9352,9,63.789462
0,5,63.802562
0.6472,49,63.928145
0.9928,1,63.930799
0,6,63.946217
0,3,63.953611
0,3,63.961417
0.8416,22,64.018681
0,15,64.632609
0.9784,3,64.640696
0.568,60,65.031656
0.9136,12,65.061373
0,1,65.064983
0.892,15,65.104503
0.9352,9,65.126969
0,10,65.15204
0.9352,9,65.748828
0,17,65.791556
0,15,65.829244
0,7,65.846486
0,65,66.004644
0,1,66.007586
0,6,66.022758
0,1,66.025842
0.9424,8,66.046325
0,107,66.893968
0,8,66.914171
0,119,67.784781
0,20,67.834584
0,8,68.431335
0.8128,26,68.496771
0,16,68.53867
0.9712,4,68.549345
0,8,68.569401
0.9352,9,68.592445
0.8776,17,68.634585
0,29,68.70695
0.9568,6,68.723613
0,125,69.613533
0,1,69.616201
0.9784,3,69.623542
0.9352,9,69.64575
0.9928,1,70.223333
0.7336,37,70.319893
0,10,70.344799
0.9496,7,70.363194
0,4,70.373508
0.9496,7,70.391274
0.964,5,70.404096
0,10,70.428436
0,125,71.310423
0.8416,22,71.36692
0,1,71.369618
0.9856,2,71.374718
0.9712,4,71.386282
0,14,71.421956
0.9136,12,72.011022
0.8488,21,72.065312
0,2,72.070788
0.8416,22,72.127329
0,6,72.142586
0.964,5,72.155796
0,5,72.16879
0,72,72.9312
0,10,72.956792
0,5,72.969628
0.9352,9,72.992557
0.9856,2,72.99757
0,1,73.00027
0.6688,46,73.116888
0.9496,7,73.134371
0.9496,7,73.152155
0,14,73.187603
0.856,20,73.814408
0.9496,7,73.832151
0.9568,6,73.848354
0,6,73.863836
0.9856,2,73.868482
0.9712,4,73.878648
0,2,73.884579
0.9856,2,73.889413
0,20,73.937906
0.9208,11,73.975698
0.6472,49,74.135958
0.9568,6,74.155423
0.9568,6,74.175015
0.9928,1,74.177617
0,125,75.102174
0.9928,1,75.104785
0.9568,6,75.813705
0.9568,6,75.829579
0,125,76.80293
0,17,76.857251
0,3,76.86762
0,1,76.870823
0.928,10,76.899868
0.8776,17,76.942462
0.604,55,77.083322
0.964,5,77.098057
0.9784,3,77.106419
0,4,77.11699
0.9928,1,77.119922
0,125,78.043585
0.9424,8,78.069788
0.9784,3,78.080161
0,2,78.749034
0,14,78.784129
0,22,78.839642
0,13,78.872357
0.9928,1,78.875194
0.9424,8,78.894675
0,42,79.001375
0.9352,9,79.025432
0,10,79.050917
0.9352,9,79.753714
0,6,79.769321
0.9424,8,79.788593
0.964,5,79.801732
0.7192,39,79.901247
0,18,79.946197
0,24,80.005743
0.9856,2,80.011686
0.964,5,80.0245
0,35,80.692905
0,6,80.713258
0,2,80.719261
0.8488,21,80.777473
0,29,80.86903
0.9712,4,80.884339
0,2,80.889377
0,5,80.904663
0,12,80.93733
0.9784,3,80.946046
0,3,80.954591
0,3,80.962979
0,1,80.96958
0.964,5,80.988281
0,75,81.818075
0.9856,2,81.823483
0.9856,2,81.829446
0,4,81.839137
0,16,81.880342
0.9208,11,81.908177
0,125,82.919812
0,34,83.010098
0.9568,6,83.636659
0,9,83.667549
0.7192,39,83.796084
0,1,83.799013
0,2,83.807784
0.8776,17,83.860498
0.964,5,83.873035
0.8632,19,83.921383
0,125,84.829394
0,118,85.783977
0.9784,3,85.791629
0,6,85.80692
0,2,85.812376
0,23,85.869058
0,27,86.622181
0.9856,2,86.627388
0,65,86.791827
0.9136,12,86.824103
0,20,86.87408
0.9928,1,86.877317
0,17,87.529179
0.9496,7,87.55174
0.9064,13,87.595559
0.8272,24,87.667374
0,5,87.681035
0.8056,27,87.76789
0,19,88.100633
0.8344,23,88.156376
0,4,88.165738
0,17,88.783756
0,55,88.916445
0.9064,13,88.960302
0.9928,1,88.963115
0,6,88.982876
0.9856,2,88.989
0,3,88.999216
0,1,89.002565
0,80,89.860006
0,5,89.872162
0,73,90.060632
0,2,90.065749
0.9712,4,90.755528
0.9568,6,90.771585
0,1,90.774214
0,27,90.84386
0.8272,24,90.902636
0.7984,28,90.975009
0.9208,11,91.00138
0.9856,2,91.007568
0.9784,3,91.015043
0,3,91.022638
0.9568,6,91.036706
0,6,91.051336
0.9928,1,91.0544
0.9928,1,91.057361
0.9856,2,91.062338
0.9568,6,91.700764
0.8992,14,91.748636
0,32,91.852317
0.9928,1,91.856817
0,3,91.868712
0,12,91.898994
0.5896,57,92.041577
0,6,92.059489
0,5,92.65154
0,40,92.755625
0,19,92.801979
