#{"t_start": 1654177183.8635166, "env_id": "BipedalWalker-v3"}
r,l,t
-101.373009,78,0.866353
-105.163075,95,1.68508
-139.300504,307,4.28891
-125.323021,1600,35.683242
-105.767628,76,36.318289
-99.358735,75,36.941478
-102.049906,78,37.600282
-124.354386,96,38.756978
-103.306799,122,39.78529
-100.783721,62,40.307115
-112.675568,1600,71.427964
-111.880773,1600,85.770283
-118.014472,107,86.673303
-101.260967,1600,117.617179
-124.592423,124,118.666473
-109.311593,1600,154.686755
-101.944386,90,155.457242
-98.474217,1600,196.296419
-97.861165,1600,242.138142
-89.317388,1600,266.52842
-99.778443,1600,307.010087
-86.79105,1600,347.408498
-84.201594,1600,387.753833
-76.839123,1600,428.768028
-89.762764,1600,453.055388
-60.93279,1600,494.296697
-61.198875,1600,535.21568
-49.141628,1600,575.681367
-36.063793,1600,599.251606
-49.984784,1600,639.767032
-26.929067,1600,680.270863
-24.271609,1600,720.36798
-22.868167,1600,760.542523
-3.916225,1600,784.294508
1.800546,1600,825.245472
4.656164,1600,866.297879
18.185007,1600,907.227399
42.775502,1600,930.910576
42.747044,1600,971.6675
-58.998538,1202,1009.098339
52.894225,1600,1048.366878
60.999875,1600,1068.698065
91.306391,1600,1108.085669
98.260448,1600,1147.798805
88.387853,1600,1187.651779
88.280415,1600,1225.700106
103.590437,1600,1248.341118
113.366117,1600,1288.204443
121.204917,1600,1327.521083
-108.569215,111,1333.521227
111.304115,1600,1373.958129
89.411625,1600,1397.285816
120.220394,1600,1437.551812
160.435294,1600,1476.110689
144.185956,1600,1515.411092
2.634943,960,1528.207175
155.858053,1600,1566.828115
138.57118,1600,1604.792921
160.857318,1600,1644.799026
156.503686,1600,1667.596017
170.903598,1600,1707.855006
176.828392,1600,1747.411375
158.434613,1600,1787.527853
175.007218,1600,1827.068619
-67.774703,295,1833.619017
191.909716,1600,1855.035862
221.207367,1600,1893.401195
230.983057,1600,1931.108002
223.442919,1600,1970.313722
232.885936,1600,2009.600848
252.120507,1599,2030.433911
234.947986,1600,2069.479464
243.614796,1600,2108.26749
224.720777,1600,2146.806569
240.870368,1600,2168.186175
241.815164,1600,2206.742016
256.707433,1529,2244.56267
256.343854,1569,2282.689274
256.453941,1517,2319.76574
257.545232,1525,2340.046209
255.959113,1544,2380.578418
259.083259,1503,2417.890606
260.779713,1466,2437.25488
253.227149,1539,2473.393617
-37.665446,491,2480.866258
263.740031,1422,2512.859099
256.99259,1492,2549.279729
253.779691,1551,2586.125793
257.314692,1465,2605.896767
253.338237,1537,2642.51043
256.784228,1524,2679.541297
248.923384,1570,2717.165612
258.728867,1477,2736.888534
255.544518,1543,2774.186902
259.251271,1480,2810.825145
245.984968,1600,2848.906894
260.446177,1471,2868.851732
257.63716,1477,2904.822321
256.901909,1496,2941.498466
257.580554,1476,2960.358875
264.700265,1409,2992.457049
255.721465,1468,3028.871428
260.152058,1472,3064.959773
256.001886,1468,3084.287683
258.957201,1430,3119.047498
261.69584,1416,3154.351888
255.36995,1497,3173.765854
258.527018,1439,3206.343318
260.250586,1412,3244.121234
257.543737,1488,3281.760137
255.057659,1493,3300.894605
254.977935,1460,3336.974142
261.341984,1383,3372.493829
253.202448,1506,3392.354006
258.165797,1407,3424.3989
