#{"t_start": 1654177183.8783832, "env_id": "BipedalWalker-v3"}
r,l,t
-111.054541,1600,14.490741
-109.295165,52,14.936635
-115.056716,1600,46.20238
-102.796063,76,46.854697
-120.060401,149,48.113915
-102.896535,130,49.224422
-130.841907,196,50.8893
-103.67753,75,51.52912
-107.226562,1600,83.068954
-113.327118,53,83.531357
-103.202752,72,84.157483
-104.604373,69,84.748244
-105.664242,78,85.42566
-102.346975,90,86.190212
-112.022475,1600,117.132097
-103.787675,1600,153.163515
-103.275395,102,154.018173
-100.689915,86,154.744253
-110.158858,1600,195.583692
-89.356914,1600,236.149839
-117.644576,71,242.008524
-101.63953,1600,266.412736
-98.283196,1600,306.899326
-82.894677,1600,347.2962
-81.188816,1600,387.644245
-62.046938,1600,428.656224
-80.446097,1600,452.941878
-64.671373,1600,494.184828
-69.7311,1600,535.102676
-51.907705,1600,575.572097
-42.715051,1600,599.141358
-48.862354,1600,639.658738
-57.123936,1600,680.162017
-23.960419,1600,720.258061
-18.332253,1600,760.433275
-11.534026,1600,784.182762
-0.439222,1600,825.133936
-11.052467,1600,866.187382
22.051453,1600,907.116484
18.020361,1600,930.800674
39.591284,1600,971.557567
9.735414,1600,1016.865145
56.886339,1600,1054.906029
42.950384,1600,1093.458554
88.160213,1600,1115.581107
94.204139,1600,1155.956836
94.660797,1600,1195.510003
98.301309,1600,1233.27525
110.962414,1600,1256.583785
114.96976,1600,1294.64061
91.315778,1600,1335.761209
126.39062,1600,1376.220764
31.009741,1576,1416.532312
144.697929,1600,1439.570028
143.418854,1600,1478.119734
130.389182,1600,1517.424568
148.704496,1600,1556.020074
151.856442,1600,1578.342963
146.565989,1600,1617.010953
164.147085,1600,1656.713128
153.478827,1600,1697.074204
173.993697,1600,1737.311812
171.910721,1600,1764.649423
186.060436,1600,1804.204729
190.409577,1600,1842.747997
189.211797,1600,1881.11864
203.346332,1600,1918.924021
-124.634143,88,1919.651421
208.700866,1600,1941.263586
231.212187,1600,1980.478496
224.439115,1600,2019.300448
231.495402,1600,2057.691462
250.917252,1600,2079.358727
236.198133,1600,2118.007592
213.656695,1600,2156.507972
246.782416,1600,2195.165504
247.814913,1600,2233.703554
255.776045,1536,2254.232858
252.32671,1598,2292.61946
261.103407,1488,2329.609942
256.834008,1540,2368.563165
95.224717,1264,2387.917689
257.658984,1503,2425.0506
255.687302,1528,2461.831607
257.349756,1525,2480.73292
264.692045,1428,2512.771644
251.384442,1591,2549.984718
259.750562,1451,2586.032103
252.956233,1574,2606.665939
253.836763,1528,2643.222944
255.0753,1532,2680.328912
260.221419,1478,2717.204224
256.373647,1538,2737.411748
260.818566,1441,2773.89269
253.526077,1559,2811.16789
255.535195,1511,2848.524249
256.427634,1535,2868.996758
249.274699,1568,2905.704532
254.781484,1516,2942.534274
263.106,1419,2977.870237
253.451231,1534,2997.904199
258.975545,1474,3030.514444
260.62416,1424,3066.198474
260.062249,1410,3085.05876
-84.797856,143,3086.197957
258.852571,1465,3121.228392
259.857856,1467,3156.945269
-8.451924,595,3165.429274
249.276368,1591,3202.901498
252.969991,1504,3240.748529
257.342691,1434,3261.465355
260.03116,1425,3293.474612
256.898453,1448,3329.905429
254.104012,1491,3365.716961
255.017634,1486,3385.595041
261.358928,1388,3421.121938
