#{"t_start": 1654177183.883739, "env_id": "BipedalWalker-v3"}
r,l,t
-118.061143,126,1.27376
-103.765487,81,1.967732
-104.878021,81,2.653135
-116.139036,82,3.348423
-109.050566,64,3.889887
-110.814873,1600,18.320869
-126.440041,84,35.980532
-117.637715,62,36.501453
-122.321819,65,37.045679
-102.924363,107,38.291456
-116.736414,64,38.83537
-105.28973,61,39.352284
-100.59694,76,39.987257
-144.373928,416,43.49416
-105.531736,66,44.044652
-104.764445,1600,75.154642
-109.943457,184,77.075844
-123.71005,107,77.978836
-100.626917,92,78.762906
-99.159745,78,79.42933
-106.72714,36,79.735281
-102.119061,68,80.320615
-98.087156,101,81.193729
-101.249943,74,81.849239
-106.856258,58,82.340372
-104.450133,71,83.290399
-99.246379,91,84.080397
-100.423109,92,84.871928
-114.205834,59,85.38648
-108.941326,1600,116.33152
-103.920815,43,116.691073
-98.813187,99,117.533018
-114.555667,1600,153.565259
-108.71142,1600,194.407157
-109.496593,68,194.9723
-97.976964,1600,235.528627
-93.678009,1600,260.020446
-100.885425,1600,300.536799
-80.827925,1600,341.037778
-79.849509,1600,386.424902
-70.009235,1600,410.209133
-69.883928,1600,451.673358
-72.309269,1600,492.960567
-67.403053,1600,533.884002
-49.669877,1600,574.361726
-37.342513,1600,597.961758
-31.402962,1600,638.450539
-30.853309,1600,678.959668
-31.054604,1600,719.068559
-15.908419,1600,742.587346
-9.290279,1600,782.964423
-2.115365,1600,823.919327
-4.933983,1600,864.960595
15.959132,1600,905.898016
32.998888,1600,929.585665
-87.335236,971,960.009043
55.496557,1600,1005.8856
57.363263,1600,1027.972608
66.325844,1600,1065.468501
84.646318,1600,1104.932096
99.141817,1600,1144.589989
103.75707,1600,1184.457439
-94.327716,124,1185.479142
70.209653,1600,1206.41615
109.962547,1600,1246.156356
109.804191,1600,1286.10076
123.7243,1600,1325.332954
114.721947,1600,1365.851538
135.854097,1600,1389.077877
129.600317,1600,1429.547231
126.97455,1600,1468.888627
144.451071,1600,1507.411669
155.732565,1600,1530.341598
160.494222,1600,1568.998341
154.961838,1600,1611.922732
170.500934,1600,1651.646888
138.320326,1600,1691.975972
188.682646,1600,1715.111733
183.499403,1600,1754.555402
179.172286,1600,1794.396211
180.133379,1600,1833.383058
80.259626,1327,1852.562833
205.943924,1600,1890.938726
215.109682,1600,1928.647038
193.521261,1600,1967.842447
224.665591,1600,1990.01435
240.18573,1600,2027.972738
230.38118,1600,2067.034562
239.168688,1600,2105.812127
231.847116,1600,2144.360004
236.837979,1600,2165.744722
230.363374,1600,2204.286428
239.219592,1600,2242.678963
247.096959,1600,2281.106639
257.196602,1515,2300.671701
252.914555,1590,2338.94339
254.251529,1592,2379.862864
257.793857,1516,2417.287631
259.651259,1507,2436.974908
257.66443,1506,2472.850074
248.753035,1562,2509.509897
260.866964,1481,2545.843283
263.768769,1410,2564.940909
255.220991,1501,2601.640695
260.946492,1466,2633.971281
256.26998,1520,2670.510068
253.310275,1560,2691.274714
3.93394,842,2718.967794
251.939023,1517,2739.018339
258.201298,1492,2775.898086
135.968521,1359,2811.561388
254.316352,1531,2849.096521
260.145624,1428,2868.678943
256.214234,1500,2904.841845
256.661727,1462,2941.236694
253.596771,1524,2960.495948
254.764717,1487,2993.218341
256.725313,1464,3029.602649
257.809127,1477,3065.722154
261.730666,1415,3084.623937
258.432545,1460,3119.615848
141.134715,1326,3154.205991
262.745885,1415,3169.22595
256.724594,1453,3205.650684
261.235621,1398,3243.113667
257.999044,1422,3263.236188
259.264802,1451,3299.217292
259.658654,1403,3334.818115
248.915415,1556,3371.741302
253.939125,1479,3387.667214
-4.32754,697,3413.692794
257.854913,1427,3433.077005
