#{"t_start": 1654177183.8616707, "env_id": "BipedalWalker-v3"}
r,l,t
-107.491305,41,0.54083
-108.465597,57,1.045483
-113.374747,1600,15.370646
-115.562874,1600,46.6084
-99.683389,78,47.27335
-105.555294,89,48.027477
-126.875292,183,49.596853
-110.731638,1600,80.758306
-102.557781,119,81.79369
-106.605911,98,82.647641
-163.15114,524,87.445536
-117.54926,62,87.953866
-113.260182,71,88.552744
-110.980799,44,105.836437
-113.451005,1600,119.899055
-100.745169,89,121.052714
-105.591852,56,121.530891
-122.26686,1600,162.324682
-117.827376,87,163.063322
-102.28292,1600,203.829265
-94.913423,1600,244.927706
-87.193301,1600,285.587578
-88.475837,1600,309.448539
-102.55459,1600,349.830355
-71.827924,1600,390.1681
-80.626429,1600,431.236287
-73.407375,1600,455.52764
-70.707478,1600,496.756067
-57.624688,1600,537.65273
-45.553043,1600,578.082347
-48.65052,1600,618.475947
-31.759497,1600,642.166897
-28.876932,1600,682.654729
-29.880127,1600,727.848919
-116.888299,75,728.466979
-37.700056,1600,768.621328
-15.962362,1600,809.672846
8.339881,1600,833.400771
14.061848,1600,874.493351
14.056457,1600,915.356656
28.658643,1600,956.242023
48.183056,1600,979.83835
73.1536,1600,1020.000988
39.985489,1600,1058.034623
70.832419,1600,1096.568088
63.204238,1600,1135.757941
100.13665,1600,1159.058889
82.318565,1600,1198.576821
108.380375,1600,1236.355699
93.269743,1600,1277.178092
128.815926,1600,1297.680247
114.42694,1600,1338.856885
117.414802,1600,1379.307815
126.093871,1600,1424.921295
152.776482,1600,1464.23527
142.835943,1600,1486.075556
147.396062,1600,1525.645744
142.928118,1600,1564.284369
153.638062,1600,1602.250292
165.31918,1600,1625.262264
173.40565,1600,1665.04359
158.122399,1600,1705.333783
189.459147,1600,1744.860198
190.624744,1600,1784.983733
179.938986,1600,1807.49798
-115.083792,54,1807.943495
56.091053,1351,1844.426736
208.370152,1600,1882.784328
-114.352878,61,1883.284657
-126.258931,91,1884.030263
205.001962,1600,1921.84832
208.198433,1600,1943.445642
250.350096,1600,1982.689333
217.365819,1600,2021.483924
252.526437,1600,2059.915415
234.675424,1600,2098.765358
242.504711,1600,2120.198074
249.980151,1600,2162.915636
243.743824,1600,2201.464438
254.448548,1561,2239.528099
249.956655,1559,2260.448715
253.294993,1588,2297.770642
256.150018,1537,2335.637482
257.139107,1529,2375.639337
260.262821,1472,2392.327222
258.213354,1477,2428.773253
256.340862,1522,2465.519708
258.419664,1475,2500.742426
260.239515,1473,2520.317307
253.082081,1539,2557.074206
257.740986,1480,2593.544344
255.857291,1515,2630.261042
248.227134,1600,2650.776155
256.940103,1479,2687.536745
255.684773,1493,2724.416098
254.777161,1552,2761.728747
252.857541,1542,2781.941488
253.582195,1538,2819.16784
259.676357,1467,2852.282296
255.706971,1500,2889.315063
255.805477,1502,2908.55003
261.591811,1424,2944.642921
254.114003,1537,2980.917093
256.911748,1489,3000.587237
258.192386,1491,3037.158858
256.031466,1499,3073.361262
258.699602,1446,3108.557729
259.960007,1408,3126.916438
262.017607,1399,3158.493292
260.098478,1409,3194.425471
258.57223,1441,3213.82576
256.541484,1471,3252.846964
251.669896,1518,3289.262566
262.47066,1416,3325.466408
258.992766,1416,3340.206092
252.913847,1504,3376.790211
259.613758,1395,3412.295854
259.372881,1402,3431.555876
