#{"t_start": 1680216698.1075952, "env_id": "MiniGrid-Unlock-v0"}
r,l,t
0,288,2.977462
0,288,4.936328
0,288,6.840894
0,288,8.88661
0,288,11.458949
0,288,13.392734
0,288,15.284708
0.496875,161,16.912164
0,288,18.895986
0,288,20.775363
0,288,22.708628
0.46875,170,25.873466
0.8875,36,25.958823
0,288,27.942097
0,288,29.842972
0.2,256,31.651265
0.709375,93,32.541695
0.390625,195,34.211622
0.934375,21,34.26021
0.665625,107,35.184937
0.828125,55,35.317909
0.915625,27,35.38326
0.88125,38,36.044276
0.903125,31,36.143855
0.684375,101,36.991358
0.80625,62,37.140594
0.575,136,38.135423
0.534375,149,39.05351
0.846875,49,39.743271
0.728125,87,39.953747
0.959375,13,39.986401
0.85625,46,40.664785
0.91875,26,40.727437
0.8625,44,40.834346
0.834375,53,41.534379
0.853125,47,41.652186
0.928125,23,41.707929
0.7625,76,42.462337
0.703125,95,43.272075
0.909375,29,43.344235
0.859375,45,43.455873
0.953125,15,43.492648
0.88125,38,44.153395
0.94375,18,44.197887
0.95625,14,44.230839
0.9625,12,44.260692
0.9625,12,44.290142
0.96875,10,44.315176
0.909375,29,44.386013
0.934375,21,45.004801
0.94375,18,45.048835
0.934375,21,45.101364
0.925,24,45.15983
0.90625,30,45.235836
0.94375,18,45.281006
0.80625,62,46.006592
0.9875,4,46.016591
0.890625,35,46.104565
0.93125,22,46.166304
0.946875,17,46.774931
0.946875,17,46.818321
0.959375,13,46.850973
0.9625,12,46.881133
0.959375,13,46.913283
0.953125,15,46.951602
0.965625,11,46.977955
0.965625,11,47.005838
0.946875,17,47.215988
0.89375,34,47.870355
0.95,16,47.910544
0.94375,18,47.958138
0.95,16,47.99989
0.859375,45,48.10976
0.94375,18,48.72182
0.89375,34,48.809356
0.928125,23,48.865885
0.925,24,48.926385
0.925,24,48.985409
0.928125,23,49.612791
0.94375,18,49.660758
0.965625,11,49.689384
0.828125,55,49.829825
0.959375,13,49.862923
0.94375,18,49.908865
0.884375,37,50.569575
0.903125,31,50.649732
0.971875,9,50.6717
0.959375,13,50.704534
0.975,8,50.724652
0.925,24,50.783534
0.971875,9,50.806085
0.909375,29,51.411623
0.953125,15,51.450209
0.959375,13,51.483562
0.93125,22,51.548688
0.875,40,51.649369
0.9625,12,51.679086
0.925,24,52.265953
0.953125,15,52.303781
0.9625,12,52.335058
0.909375,29,52.410179
0.9625,12,52.441503
0.95,16,52.481498
0.940625,19,52.530797
0.95625,14,53.131395
0.96875,10,53.156915
0.890625,35,53.245213
0.95625,14,53.279976
0.9375,20,53.331394
0.925,24,53.392793
0.9,32,54.042847
0.95,16,54.083559
0.946875,17,54.126823
0.946875,17,54.17067
0.965625,11,54.198776
0.959375,13,54.232602
0.890625,35,54.322077
0.928125,23,54.94518
0.903125,31,55.023406
0.940625,19,55.071197
0.978125,7,55.089315
0.95625,14,55.124959
0.978125,7,55.142676
0.984375,5,55.156381
0.971875,9,55.179199
0.928125,23,55.800683
0.959375,13,55.834389
0.921875,25,55.900319
0.978125,7,55.918895
0.953125,15,55.957254
0.959375,13,55.990955
0.946875,17,56.03554
0.875,40,56.701523
0.978125,7,56.72109
0.9625,12,56.750671
0.95625,14,56.785858
0.946875,17,56.829067
0.94375,18,56.87572
0.809375,61,57.595107
0.94375,18,57.642621
0.971875,9,57.666523
0.915625,27,57.736902
0.959375,13,57.769431
0.965625,11,57.796906
0.965625,11,57.825552
0.9625,12,57.857094
0.925,24,58.480673
0.946875,17,58.52352
0.978125,7,58.541799
0.965625,11,58.571005
0.98125,6,58.586071
0.971875,9,58.60814
0.95625,14,58.64344
0.96875,10,58.66864
0.96875,10,58.694325
0.953125,15,58.732433
0.95,16,58.773401
0.9625,12,59.369031
0.94375,18,59.415768
0.959375,13,59.44944
0.94375,18,59.495352
0.98125,6,59.510764
0.984375,5,59.523875
0.95625,14,59.559764
0.903125,31,59.639487
0.959375,13,59.673985
0.515625,155,61.213373
0.96875,10,61.239369
0.96875,10,61.26419
0.909375,29,61.33804
0.96875,10,61.364973
0.965625,11,61.392652
0.971875,9,61.415286
0.953125,15,61.454042
0.96875,10,61.480057
0.903125,31,62.12088
0.946875,17,62.165228
0.9625,12,62.197194
0.959375,13,62.232132
0.94375,18,62.278627
0.93125,22,62.335232
0.94375,18,62.944035
0.965625,11,62.972476
0.921875,25,63.037598
0.896875,33,63.122757
0.971875,9,63.146211
0.971875,9,63.168798
0.984375,5,63.181531
0.95,16,63.222373
0.9625,12,63.253102
0.978125,7,63.846016
0.9875,4,63.856627
0.978125,7,63.876796
0.9375,20,63.928329
0.96875,10,63.954325
0.93125,22,64.011707
0.959375,13,64.045912
0.9375,20,64.096314
0.98125,6,64.112003
0.975,8,64.133427
0.9625,12,64.164382
0.965625,11,64.758538
0.953125,15,64.797621
0.9625,12,64.828407
0.971875,9,64.852151
0.959375,13,64.885034
0.965625,11,64.912707
0.959375,13,64.946082
0.946875,17,64.991329
0.953125,15,65.030659
0.96875,10,65.056163
0.91875,26,65.690394
0.9375,20,65.741373
0.95625,14,65.77696
0.971875,9,65.799732
0.946875,17,65.842673
0.9625,12,65.872283
0.975,8,65.893143
0.978125,7,65.911873
0.959375,13,65.946211
0.96875,10,66.541918
0.96875,10,66.56807
0.978125,7,66.58616
0.965625,11,66.616138
0.95625,14,66.653865
0.978125,7,66.6723
0.94375,18,66.723803
0.965625,11,66.752562
0.975,8,66.774915
0.953125,15,66.815201
0.95625,14,66.850185
0.934375,21,67.481918
0.971875,9,67.506482
0.975,8,67.526655
0.953125,15,67.566537
0.971875,9,67.589638
0.971875,9,67.613418
0.971875,9,67.636514
0.975,8,67.657663
0.959375,13,67.692628
0.96875,10,67.718368
0.984375,5,67.731558
0.9375,20,67.784553
0.95625,14,68.390736
0.953125,15,68.429589
0.9625,12,68.46054
0.9625,12,68.491327
0.965625,11,68.521029
0.965625,11,68.550198
0.946875,17,68.595093
0.9625,12,68.62642
0.9625,12,68.656523
0.940625,19,69.271233
0.96875,10,69.296783
0.965625,11,69.32453
0.953125,15,69.481728
0.94375,18,69.528554
0.978125,7,69.546229
0.95,16,69.589794
0.978125,7,69.607299
0.95625,14,69.643107
0.959375,13,69.677338
0.946875,17,70.287185
0.95625,14,70.32486
0.940625,19,70.37363
0.984375,5,70.386803
0.9625,12,70.419065
0.946875,17,70.462469
0.93125,22,70.518383
0.95,16,70.558933
0.971875,9,70.582131
0.965625,11,70.609703
0.95625,14,71.211431
0.98125,6,71.227484
0.975,8,71.247771
0.946875,17,71.293751
0.95,16,71.334961
0.975,8,71.354876
0.96875,10,71.3812
0.978125,7,71.398951
0.95,16,71.43994
0.971875,9,71.463703
0.903125,31,72.112106
0.9375,20,72.164435
0.978125,7,72.182821
0.971875,9,72.205656
0.94375,18,72.25338
0.934375,21,72.30602
0.934375,21,72.361131
0.953125,15,72.39943
0.96875,10,72.996833
0.9625,12,73.028677
0.953125,15,73.067765
0.940625,19,73.116203
0.96875,10,73.140569
0.640625,115,74.001918
0.975,8,74.022122
0.971875,9,74.046698
0.96875,10,74.072441
0.978125,7,74.090193
0.9625,12,74.120202
0.978125,7,74.139168
0.971875,9,74.162118
0.928125,23,74.799517
0.975,8,74.820831
0.921875,25,74.884981
0.98125,6,74.90058
0.971875,9,74.923109
0.971875,9,74.946266
0.865625,43,75.055031
0.953125,15,75.093318
0.965625,11,75.701727
0.959375,13,75.735888
0.9125,28,75.809518
0.946875,17,75.854958
0.9625,12,75.887033
0.9625,12,75.918083
0.965625,11,75.946987
0.953125,15,75.985018
0.975,8,76.005577
0.971875,9,76.59318
0.978125,7,76.612492
0.9625,12,76.645149
0.953125,15,76.683955
0.9625,12,76.714934
0.971875,9,76.737953
0.971875,9,76.762201
0.959375,13,76.797528
0.95625,14,76.833621
0.96875,10,76.859862
0.934375,21,76.916496
0.96875,10,77.521559
0.975,8,77.542565
0.965625,11,77.570926
0.975,8,77.591576
0.98125,6,77.607358
0.959375,13,77.642409
0.96875,10,77.669169
0.965625,11,77.697677
0.984375,5,77.710831
0.953125,15,77.751619
0.9875,4,77.761997
0.953125,15,77.801527
0.965625,11,77.830233
0.96875,10,78.436351
0.971875,9,78.459001
0.946875,17,78.502557
0.940625,19,78.551817
0.96875,10,78.578002
0.95,16,78.620091
0.971875,9,78.643191
0.9625,12,78.675041
0.965625,11,78.703413
0.971875,9,78.728235
0.921875,25,79.374336
0.96875,10,79.400997
0.975,8,79.422582
0.971875,9,79.445757
0.95625,14,79.482865
0.975,8,79.503509
0.95625,14,79.541016
0.96875,10,79.567299
0.98125,6,79.58347
0.975,8,79.604639
0.95625,14,79.642717
0.95,16,80.267094
0.98125,6,80.282992
0.96875,10,80.308895
0.959375,13,80.344008
0.975,8,80.364896
0.971875,9,80.3886
0.959375,13,80.424117
0.971875,9,80.448281
0.9375,20,80.500764
0.98125,6,80.517303
0.959375,13,80.55215
0.96875,10,80.578201
0.971875,9,81.171935
0.971875,9,81.196167
0.959375,13,81.229809
0.96875,10,81.257098
0.9625,12,81.28998
0.953125,15,81.328076
0.9875,4,81.339112
0.9625,12,81.369467
0.965625,11,81.398934
0.975,8,81.420844
0.965625,11,81.450236
0.9625,12,81.482152
0.98125,6,81.498843
0.978125,7,82.082192
0.821875,57,82.234221
0.971875,9,82.258474
0.975,8,82.279755
0.946875,17,82.324889
0.98125,6,82.341638
0.95,16,82.38476
0.940625,19,83.001517
0.96875,10,83.028691
0.95,16,83.068806
0.98125,6,83.085294
0.95625,14,83.121191
0.978125,7,83.139972
0.965625,11,83.170076
0.95625,14,83.206475
0.959375,13,83.240394
0.971875,9,83.265071
0.925,24,83.893642
0.98125,6,83.909381
0.98125,6,83.925353
0.978125,7,83.944486
0.965625,11,83.974029
0.959375,13,84.008259
0.953125,15,84.048422
0.9625,12,84.080134
0.971875,9,84.103206
0.959375,13,84.138587
0.971875,9,84.161781
0.975,8,84.183055
0.890625,35,84.845015
0.978125,7,84.863369
0.9625,12,84.895548
0.96875,10,84.921985
0.98125,6,84.937615
0.928125,23,84.997087
0.971875,9,85.02072
0.940625,19,85.070933
0.975,8,85.09147
0.95,16,85.703856
0.975,8,85.725613
0.95,16,85.767208
0.978125,7,85.786875
0.975,8,85.808581
0.975,8,85.829285
0.965625,11,85.85939
0.98125,6,85.875353
0.978125,7,85.893798
0.971875,9,85.916671
0.971875,9,85.941797
0.96875,10,85.967944
0.96875,10,85.993815
0.975,8,86.0142
0.9625,12,86.615655
0.971875,9,86.638609
0.953125,15,86.67951
0.96875,10,86.705935
0.959375,13,86.74084
0.975,8,86.761654
0.965625,11,86.790642
0.96875,10,86.817429
0.984375,5,86.830934
0.921875,25,86.897389
0.9625,12,86.928533
0.965625,11,87.528293
0.953125,15,87.567148
0.965625,11,87.597304
0.96875,10,87.624972
0.921875,25,87.690183
0.978125,7,87.708756
0.9625,12,87.740693
0.965625,11,87.769561
0.9375,20,87.823834
0.96875,10,87.850181
0.971875,9,88.442034
0.928125,23,88.50119
0.971875,9,88.526592
