#{"t_start": 1680216698.1095877, "env_id": "MiniGrid-Unlock-v0"}
r,l,t
0,288,2.976439
0,288,4.935346
0,288,6.83989
0.809375,61,7.647228
0,288,9.603008
0,288,11.615041
0.7,96,12.403077
0,288,14.416197
0,288,16.327925
0.6,128,17.276114
0,288,19.764863
0,288,21.721478
0.790625,67,21.881397
0,288,25.921782
0,288,27.906939
0,288,29.804851
0.8,64,30.618987
0.684375,101,31.411213
0.490625,163,32.454045
0.946875,17,32.494378
0.246875,241,34.272555
0.9125,28,34.337804
0.728125,87,35.217326
0.528125,151,36.185862
0.446875,177,37.203409
0.925,24,37.2584
0.93125,22,37.984313
0.865625,43,38.087533
0.909375,29,38.157754
0.853125,47,38.829342
0.815625,59,38.971843
0.33125,214,40.628757
0.93125,22,40.682054
0.903125,31,40.75806
0.703125,95,41.56116
0.909375,29,41.633209
0.91875,26,41.696453
0.8625,44,42.371022
0.88125,38,42.465971
0.94375,18,42.510523
0.934375,21,42.565098
0.95,16,42.605831
0.846875,49,43.297145
0.94375,18,43.342918
0.728125,87,44.12452
0.925,24,44.183995
0.821875,57,44.323956
0.834375,53,45.021131
0.946875,17,45.062067
0.85,48,45.182162
0.94375,18,45.227006
0.840625,51,45.923423
0.975,8,45.943783
0.95,16,45.984574
0.93125,22,46.040638
0.95625,14,46.076021
0.921875,25,46.137614
0.946875,17,46.187734
0.978125,7,46.770215
0.93125,22,46.827832
0.78125,70,47.00122
0.96875,10,47.025963
0.9625,12,47.224747
0.9125,28,47.863305
0.975,8,47.883193
0.95625,14,47.919746
0.95,16,47.961878
0.94375,18,48.007943
0.93125,22,48.0627
0.9625,12,48.091687
0.803125,63,48.817518
0.7625,76,49.006378
0.925,24,49.638241
0.95,16,49.679406
0.959375,13,49.713552
0.921875,25,49.77684
0.86875,42,49.884249
0.815625,59,50.601151
0.9625,12,50.632259
0.95625,14,50.667496
0.921875,25,50.730279
0.96875,10,50.754702
0.98125,6,50.769449
0.878125,39,51.399495
0.95,16,51.440969
0.915625,27,51.519735
0.95,16,51.559204
0.95,16,51.599496
0.9625,12,51.629069
0.95,16,51.669342
0.953125,15,52.235101
0.775,72,52.418928
0.975,8,52.440223
