#{"t_start": 1680216698.1126764, "env_id": "MiniGrid-Unlock-v0"}
r,l,t
0,288,2.974799
0,288,4.933774
0,288,6.8383
0,288,8.883874
0,288,11.456062
0,288,13.390093
0,288,15.281995
0,288,17.282593
0.428125,183,18.944173
0.76875,74,19.677412
0.8375,52,19.840568
0.175,264,21.719316
0.30625,222,23.439672
0.590625,131,25.914228
0.75,80,26.099573
0,288,28.646163
0.41875,186,29.746861
0.840625,51,29.867106
0,288,32.420696
0.25625,238,34.192934
0.38125,198,35.335866
0.79375,66,36.070888
0.878125,39,36.199061
0.78125,70,36.39247
0.5375,148,37.978978
0.69375,98,38.214607
0.940625,19,38.819451
0.896875,33,38.900234
0.859375,45,39.007946
0.809375,61,39.726291
0.696875,97,39.962448
0.76875,74,40.708184
0.796875,65,40.867679
0.796875,65,41.597649
0.971875,9,41.621071
0.784375,69,42.356052
0.8875,36,42.44477
0.8625,44,42.557027
0.80625,62,43.2824
0.925,24,43.343015
0.953125,15,43.379691
0.903125,31,43.45682
0.95,16,43.496004
0.915625,27,44.129686
0.840625,51,44.253808
0.828125,55,44.389452
0.978125,7,44.406392
0.96875,10,44.997837
0.884375,37,45.089392
0.921875,25,45.150438
0.95,16,45.191824
0.84375,50,45.885535
0.915625,27,45.95394
0.9625,12,45.984648
0.85625,46,46.100675
0.81875,58,46.820136
0.865625,43,46.927084
0.834375,53,47.228192
0.959375,13,47.828556
0.95625,14,47.863441
0.91875,26,47.930254
0.940625,19,47.979808
0.93125,22,48.035245
0.909375,29,48.105822
0.971875,9,48.128189
0.95625,14,48.730786
0.98125,6,48.745913
0.96875,10,48.771223
0.96875,10,48.797636
0.915625,27,48.864758
0.85,48,48.984197
0.878125,39,49.653622
0.959375,13,49.688569
0.965625,11,49.716583
0.9625,12,49.746659
0.9625,12,49.77687
0.940625,19,49.826092
0.915625,27,49.8943
0.95625,14,49.929683
0.828125,55,50.637601
0.9625,12,50.667889
0.9375,20,50.717651
0.896875,33,50.799206
0.934375,21,51.38412
0.95,16,51.425762
0.9625,12,51.457276
0.959375,13,51.499315
0.971875,9,51.522238
0.95625,14,51.557341
0.9625,12,51.586738
0.95625,14,51.621348
0.9,32,52.22983
0.959375,13,52.262077
0.9375,20,52.312889
0.953125,15,52.351843
0.9625,12,52.382175
0.95,16,52.424398
0.93125,22,52.480042
0.953125,15,52.519133
0.959375,13,53.11723
0.965625,11,53.144907
0.96875,10,53.171097
0.95,16,53.210681
0.978125,7,53.228348
0.98125,6,53.244074
0.8625,44,53.355249
0.93125,22,53.412381
0.9375,20,54.030609
0.978125,7,54.048615
0.98125,6,54.064203
0.975,8,54.084867
0.96875,10,54.11075
0.8875,36,54.202872
0.965625,11,54.231561
0.975,8,54.251877
0.915625,27,54.320399
0.896875,33,54.968107
0.9,32,55.04963
0.921875,25,55.112987
0.95,16,55.155084
0.915625,27,55.78684
0.953125,15,55.824834
0.959375,13,55.859853
0.934375,21,55.915025
0.9625,12,55.945038
0.940625,19,55.994438
0.971875,9,56.017781
0.959375,13,56.052407
0.940625,19,56.101331
0.96875,10,56.689728
0.959375,13,56.724367
0.96875,10,56.749398
0.953125,15,56.786486
0.865625,43,56.897151
0.971875,9,56.919467
0.965625,11,56.947546
0.95,16,56.988816
0.9625,12,57.583072
0.953125,15,57.62308
0.415625,187,58.664828
0.946875,17,58.708385
0.9625,12,58.738942
0.971875,9,58.761328
0.959375,13,59.359767
0.98125,6,59.376221
0.96875,10,59.401484
0.96875,10,59.427505
0.9625,12,59.45816
0.95,16,59.499338
0.95625,14,59.535013
0.946875,17,59.578181
0.946875,17,59.621186
0.978125,7,59.640468
0.928125,23,60.265924
0.94375,18,60.313599
0.946875,17,60.358302
0.959375,13,60.391773
0.940625,19,60.440807
0.9625,12,60.47013
0.934375,21,60.524336
0.934375,21,61.151149
0.953125,15,61.191124
0.9625,12,61.222067
0.9,32,61.303462
0.9625,12,61.334191
0.9625,12,61.365983
0.971875,9,61.38867
0.975,8,61.408463
0.965625,11,61.436896
0.946875,17,62.043089
0.959375,13,62.075133
0.965625,11,62.10339
0.959375,13,62.137979
0.96875,10,62.16454
0.95625,14,62.201661
0.965625,11,62.230825
0.971875,9,62.254039
0.965625,11,62.282474
0.9625,12,62.313322
0.91875,26,62.942812
0.975,8,62.963302
0.959375,13,62.996765
0.953125,15,63.036264
0.959375,13,63.070192
0.959375,13,63.104087
0.921875,25,63.167585
0.953125,15,63.205417
0.9125,28,63.853317
0.946875,17,63.899064
0.96875,10,63.924382
0.96875,10,63.950314
0.98125,6,63.96616
0.94375,18,64.013112
0.96875,10,64.038642
0.896875,33,64.124092
0.978125,7,64.142401
0.9625,12,64.173156
0.928125,23,64.79853
0.946875,17,64.842678
0.84375,50,64.971257
0.96875,10,64.998153
0.95,16,65.039841
0.965625,11,65.068485
0.965625,11,65.662577
0.965625,11,65.69154
0.940625,19,65.739954
0.96875,10,65.764708
0.925,24,65.825695
0.9625,12,65.855438
0.9625,12,65.886272
0.9625,12,65.91817
0.98125,6,65.934316
0.959375,13,66.53828
0.959375,13,66.571711
0.971875,9,66.595708
0.975,8,66.617083
0.959375,13,66.652431
0.975,8,66.673773
0.9625,12,66.708411
0.959375,13,66.743239
0.9625,12,66.776287
0.965625,11,66.805481
0.9375,20,66.856495
0.975,8,66.878026
0.953125,15,67.494018
0.9625,12,67.525437
0.9625,12,67.556294
0.96875,10,67.582754
0.953125,15,67.621925
0.9625,12,67.653872
0.971875,9,67.678055
0.9625,12,67.708292
0.90625,30,67.788486
0.978125,7,68.376621
0.959375,13,68.409898
0.965625,11,68.438127
0.90625,30,68.517582
0.971875,9,68.540151
0.971875,9,68.564706
0.95625,14,68.601699
0.978125,7,68.619598
0.959375,13,68.652598
0.96875,10,68.67836
0.959375,13,69.276883
0.971875,9,69.30009
0.928125,23,69.478173
