#{"t_start": 1680216698.1137648, "env_id": "MiniGrid-Unlock-v0"}
r,l,t
0,288,2.974262
0,288,4.933161
0,288,6.837744
0,288,8.883268
0,288,11.455461
0,288,13.38948
0,288,15.281437
0,288,17.282097
0.196875,257,19.676964
0,288,21.651488
0,288,25.020816
0,288,26.94366
0.296875,225,28.773438
0.815625,59,28.945925
0.909375,29,29.639263
0.25625,238,31.415
0.50625,158,32.44579
0.503125,159,33.478039
0.940625,19,33.522014
0.29375,226,35.283897
0.896875,33,35.363525
0.76875,74,36.136013
0.76875,74,36.355886
0.878125,39,37.013048
0.921875,25,37.072239
0.95,16,37.111399
0.34375,210,38.843459
0.825,56,38.97871
0.884375,37,39.069258
0.921875,25,39.698856
0.903125,31,39.774866
0.98125,6,39.789411
0.8875,36,39.875974
0.86875,42,39.978624
0.903125,31,40.620306
0.846875,49,40.739763
0.86875,42,40.841974
0.5375,148,42.343036
0.928125,23,42.399526
0.8625,44,42.510015
0.95625,14,42.545491
0.80625,62,43.272003
0.975,8,43.29086
0.93125,22,43.346873
0.784375,69,43.517742
0.959375,13,44.115993
0.940625,19,44.16314
0.878125,39,44.258373
0.7875,68,44.9913
0.9125,28,45.061237
0.9625,12,45.091271
0.903125,31,45.168306
0.953125,15,45.206148
0.896875,33,45.289148
0.94375,18,45.902351
0.953125,15,45.940736
0.884375,37,46.034271
0.959375,13,46.067432
0.91875,26,46.131451
0.965625,11,46.166516
0.9125,28,46.803188
0.90625,30,46.878775
0.909375,29,46.951476
0.890625,35,47.205703
0.83125,54,47.910836
0.90625,30,47.989571
0.965625,11,48.01738
0.95625,14,48.052071
0.8375,52,48.747575
0.95,16,48.788944
0.93125,22,48.843601
0.878125,39,48.940227
0.959375,13,48.973166
0.946875,17,49.015599
0.953125,15,49.623935
0.95625,14,49.6609
0.934375,21,49.715974
0.9625,12,49.746123
0.95,16,49.785881
0.9,32,49.867947
0.9625,12,49.898654
0.971875,9,49.920956
0.928125,23,50.545715
0.95625,14,50.582312
0.953125,15,50.621302
0.94375,18,50.66733
0.940625,19,50.714202
0.925,24,50.773577
0.975,8,50.793156
0.959375,13,51.357455
0.9625,12,51.388425
0.921875,25,51.453148
0.928125,23,51.52174
0.940625,19,51.568389
0.925,24,51.628413
0.953125,15,51.66616
0.9125,28,52.264225
0.95,16,52.304058
0.965625,11,52.33302
0.953125,15,52.370811
0.953125,15,52.410394
0.971875,9,52.433641
0.934375,21,52.487132
0.96875,10,52.513404
0.809375,61,53.23258
0.94375,18,53.277779
0.9625,12,53.307798
0.921875,25,53.372693
0.925,24,54.001321
0.940625,19,54.05034
0.95625,14,54.086702
0.9375,20,54.13749
0.95625,14,54.173417
0.95,16,54.214246
0.95625,14,54.251317
0.940625,19,54.298627
0.95625,14,54.89969
0.96875,10,54.924718
0.946875,17,54.967554
0.953125,15,55.005601
0.9375,20,55.056387
0.9625,12,55.086908
0.95625,14,55.122716
0.971875,9,55.145565
0.915625,27,55.21581
0.96875,10,55.803517
0.95,16,55.845511
0.909375,29,55.922092
0.88125,38,56.020181
0.95,16,56.062137
0.946875,17,56.105978
0.959375,13,56.702824
0.96875,10,56.728633
0.915625,27,56.796679
0.965625,11,56.824671
0.95625,14,56.860186
0.94375,18,56.90586
0.953125,15,56.943358
0.946875,17,56.9883
0.96875,10,57.576947
0.95,16,57.61928
0.928125,23,57.679879
0.959375,13,57.713504
0.98125,6,57.728988
0.971875,9,57.751868
0.95,16,57.792261
0.9625,12,57.823018
0.965625,11,57.852303
0.95,16,57.892639
0.9625,12,58.485806
0.925,24,58.547457
0.959375,13,58.581316
0.9125,28,58.651565
0.971875,9,58.674555
0.953125,15,58.712386
0.94375,18,58.757898
0.940625,19,59.372548
0.959375,13,59.405574
0.959375,13,59.439385
0.965625,11,59.467568
0.96875,10,59.492904
0.946875,17,59.536966
