#{"t_start": 1680216698.110616, "env_id": "MiniGrid-Unlock-v0"}
r,l,t
0,288,2.975943
0,288,4.9348
0,288,6.839397
0,288,8.88486
0,288,11.457148
0,288,13.390833
0,288,15.282932
0,288,17.283659
0.53125,150,18.866644
0.490625,163,19.855949
0,288,21.788217
0.703125,95,22.575975
0,288,26.051455
0.559375,141,26.956801
0.915625,27,27.028574
0.325,216,28.827555
0.546875,145,29.825328
0.421875,185,31.476545
0.8125,60,31.609572
0.38125,198,33.376966
0.746875,81,33.591233
0.85,48,34.260273
0.809375,61,34.402679
0.803125,63,35.226551
0.278125,231,36.981321
0.759375,77,37.166223
0.8,64,37.988448
0.934375,21,38.038896
0.90625,30,38.110942
0.878125,39,38.204818
0.903125,31,38.838065
0.9375,20,38.886798
0.890625,35,38.97136
0.759375,77,39.727634
0.9,32,39.807286
0.86875,42,39.906451
0.675,104,40.727693
0.825,56,40.864322
0.9375,20,41.481662
0.875,40,41.58252
0.953125,15,41.619921
0.721875,89,42.405193
0.803125,63,42.564579
0.79375,66,43.299325
0.95625,14,43.334494
0.896875,33,43.414915
0.959375,13,43.447694
0.884375,37,44.105936
0.96875,10,44.131016
0.759375,77,44.320228
0.875,40,44.983699
0.946875,17,45.027462
0.81875,58,45.170619
0.909375,29,45.24318
0.978125,7,45.260431
0.95625,14,45.297395
0.94375,18,45.910259
0.915625,27,45.978767
0.953125,15,46.016859
0.95625,14,46.05273
0.978125,7,46.069583
0.9125,28,46.139451
0.915625,27,46.780346
0.959375,13,46.813041
0.95625,14,46.848799
0.953125,15,46.886431
0.65625,110,47.897724
0.934375,21,47.952619
0.953125,15,47.991931
0.890625,35,48.078554
0.934375,21,48.129558
0.91875,26,48.763144
0.98125,6,48.778206
0.975,8,48.798752
0.884375,37,48.890301
0.95,16,48.930782
0.95625,14,48.966122
0.94375,18,49.010583
0.953125,15,49.618495
0.915625,27,49.689879
0.93125,22,49.745349
0.8375,52,49.877926
0.94375,18,49.923209
0.975,8,50.511753
0.846875,49,50.636533
0.759375,77,51.359738
0.934375,21,51.414482
0.946875,17,51.45866
0.946875,17,51.511218
0.7875,68,51.681683
0.865625,43,52.31719
0.959375,13,52.35103
0.8625,44,52.463884
0.95,16,52.504803
0.959375,13,52.539599
