#{"t_start": 1654177183.8610532, "env_id": "BipedalWalker-v3"}
r,l,t
-110.993463,1600,14.484951
-113.92734,57,14.998342
-119.528216,66,15.595944
-112.857411,1600,46.820922
-106.294064,91,47.597172
-108.148327,117,48.587512
-111.962329,50,49.015931
-102.358019,64,49.566942
-118.946861,76,50.211336
-105.92439,1600,81.390398
-122.40626,124,82.464391
-101.870592,69,83.394765
-108.551448,1600,114.377971
-100.304509,97,115.206601
-116.21729,1600,151.258262
-115.520114,1600,192.095742
-99.713142,133,193.219137
-93.111006,1600,216.824423
-84.426232,1600,258.238237
-88.317945,1600,298.776092
-82.440011,1600,339.281555
-78.994188,1600,379.550964
-114.685535,71,380.14994
-78.215901,1600,403.818409
-74.043511,1600,445.195607
-63.333486,1600,486.586149
-49.637879,1600,532.701351
-118.08659,79,533.376841
-49.63355,1600,573.858409
-38.695487,1600,597.469338
-43.852334,1600,637.94915
-36.254289,1600,678.458653
-23.556164,1600,718.573094
-26.781848,1600,742.091871
-102.315192,71,742.685177
-7.753349,1600,783.064426
2.213805,1600,824.018378
3.71636,1600,865.059853
-0.842604,1600,905.997039
20.060475,1600,929.684523
37.305327,1600,970.452076
21.243159,1600,1011.218756
54.568711,1600,1050.483605
59.402149,1600,1088.026796
72.217347,1600,1110.149927
64.96216,1600,1154.862505
87.737258,1600,1194.42078
84.639356,1600,1232.173459
103.237364,1600,1255.485661
110.465955,1600,1293.527374
124.89494,1600,1334.683931
109.766894,1600,1375.129918
129.01272,1600,1415.639818
145.397804,1600,1438.701196
141.738628,1600,1477.255224
42.979849,1550,1516.158012
147.64107,1600,1554.756469
174.738199,1600,1577.060641
152.580965,1600,1615.728431
179.683673,1600,1655.43412
155.669645,1600,1695.787376
163.352839,1600,1736.023226
200.887029,1600,1758.386714
182.444297,1600,1798.224587
204.431683,1600,1837.173283
210.691964,1600,1875.583133
193.417366,1600,1900.657001
212.850988,1600,1939.258907
215.782287,1600,1978.45183
250.187568,1600,2017.282115
244.088584,1600,2055.679491
251.731375,1599,2077.347006
-78.038402,470,2098.384681
74.426941,1303,2117.396632
234.718835,1600,2155.900885
241.48749,1600,2194.557173
254.110294,1579,2232.919673
262.029009,1473,2252.938916
257.16818,1524,2290.747784
263.471503,1451,2327.352655
-112.040969,70,2327.990047
255.488151,1558,2366.911628
252.022674,1570,2388.933606
-12.83878,501,2414.268777
256.208524,1548,2434.288213
253.995699,1565,2470.650086
-6.606827,575,2475.258219
261.186332,1462,2511.100987
250.539256,1549,2547.972026
257.342594,1497,2584.395048
58.705162,994,2596.42302
254.580817,1503,2633.044854
260.906338,1480,2652.584806
258.433177,1470,2689.307048
253.275162,1536,2726.537666
262.409974,1417,2762.765074
255.758216,1499,2782.630981
252.237684,1544,2819.906904
259.888123,1471,2857.069333
260.067135,1475,2889.87387
257.621022,1494,2909.051731
265.740185,1386,2944.83824
257.168786,1522,2980.992131
67.182706,982,2992.714744
260.466465,1443,3028.931682
254.537821,1509,3065.311972
265.821723,1346,3083.66903
261.29821,1440,3118.509485
256.065904,1497,3154.460383
255.236004,1473,3173.675814
33.896308,745,3196.912448
258.658592,1416,3216.046836
257.524754,1416,3254.639585
250.600893,1527,3291.155814
252.420721,1521,3328.195595
124.801354,1278,3345.618767
255.851903,1435,3377.878602
263.423826,1359,3413.082956
255.210284,1443,3432.626954
