#{"t_start": 1654177183.8855853, "env_id": "BipedalWalker-v3"}
r,l,t
-119.381415,1600,14.49172
-111.111173,1600,45.764575
-99.794548,82,46.456982
-106.340398,35,46.75083
-99.981576,1600,77.899653
-102.281664,107,78.814206
-120.162576,1600,109.943509
-100.943334,78,110.603863
-117.753783,1600,141.68343
-107.860001,1600,165.629629
-125.099613,113,166.580429
-107.421891,1600,207.263838
-87.762536,1600,248.430364
-92.605846,1600,289.061877
-106.628887,58,294.778508
-89.178071,1600,335.291563
-75.357389,1600,358.883546
-84.663626,1600,399.212904
-65.778594,1600,440.500895
-69.487766,1600,481.907982
-57.356663,1600,506.00465
-60.633477,1600,546.850381
-44.893815,1600,587.132956
-31.846939,1600,627.575814
-36.320627,1600,668.166498
-43.337229,1600,691.637297
-16.62465,1600,731.772072
-14.296828,1600,771.973181
10.358411,1600,813.019961
-0.204322,1600,836.765541
19.588306,1600,877.84861
21.703288,1600,918.688166
35.896205,1600,959.556829
35.207322,1600,1000.298304
61.973213,1600,1027.510727
59.005289,1600,1065.011012
75.480275,1600,1104.489003
98.337203,1600,1144.136068
86.821377,1600,1184.008144
112.667309,1600,1204.959269
89.757829,1600,1244.689059
129.247829,1600,1284.6577
109.755178,1600,1323.872837
122.248664,1600,1347.179898
133.587181,1600,1387.600108
142.743221,1600,1428.108303
125.815037,1600,1467.446398
18.204539,1436,1487.964196
133.635576,1600,1527.596928
169.506888,1600,1566.207495
156.117461,1600,1604.1692
131.232994,1600,1644.169108
139.434505,1600,1666.974667
157.800555,1600,1707.239517
159.81404,1600,1746.785455
191.612546,1600,1786.904731
186.656726,1600,1809.417052
209.901795,1600,1847.939103
215.573662,1600,1886.27403
216.219107,1600,1928.08574
222.179488,1600,1967.266938
222.960942,1600,1989.441267
244.819429,1600,2027.402228
231.495895,1600,2066.470433
203.924606,1600,2105.244074
247.833955,1600,2143.791529
151.814118,1535,2164.654564
254.759938,1569,2202.935116
244.100814,1600,2241.330882
256.434916,1560,2279.431408
253.654187,1545,2299.230123
265.089567,1441,2336.308382
258.814887,1536,2376.566685
252.248701,1567,2414.642787
-72.134175,303,2417.071367
260.314977,1457,2436.367797
247.579429,1600,2472.994086
254.259736,1540,2509.473517
264.559331,1440,2545.485472
259.846329,1444,2564.845706
252.98516,1543,2601.890978
105.388283,1194,2632.046931
249.71808,1576,2652.348385
251.820685,1539,2689.62493
248.225767,1600,2727.372261
262.764357,1441,2763.784086
99.291735,1225,2781.445242
255.355475,1484,2814.261047
258.786848,1460,2851.272887
258.09402,1508,2871.463789
254.37969,1491,2907.533046
86.940474,1089,2940.921693
261.27657,1438,2956.243559
259.93761,1448,2991.892368
259.256772,1483,3028.428918
51.8169,1036,3040.58375
260.778141,1399,3075.975566
256.774917,1489,3111.49649
256.872933,1439,3130.118734
252.504851,1517,3166.37425
254.980403,1477,3202.94193
261.523828,1420,3239.938944
252.374695,1503,3261.378152
253.925881,1453,3293.618638
253.686544,1530,3330.718242
258.707724,1451,3366.213297
258.659209,1409,3385.454246
261.329101,1379,3420.899548
